isogroup28559	GO:0005929
isogroup50078	GO:0005737;GO:0005874;GO:0031514;GO:0005524;GO:0008017;GO:0003777;GO:0030030;GO:0007018
isogroup24141	GO:0005634;GO:0003677;GO:0003723;GO:0006355;GO:0006351;GO:0016055
isogroup131018	
isogroup335196	GO:0005737;GO:0005874;GO:0005525;GO:0003924;GO:0005200;GO:0007017
isogroup15083	GO:0032449;GO:0005737;GO:0005829;GO:0001650;GO:0005730;GO:0005634;GO:0048471;GO:0005886;GO:0043234;GO:0004197;GO:0008233;GO:0002020;GO:0043621;GO:0004871;GO:0004842;GO:0007250;GO:0001923;GO:0006952;GO:0038095;GO:0045087;GO:0043066;GO:0051168;GO:0043123;GO:0032743;GO:0051092;GO:0031398;GO:0050870;GO:0002726;GO:0051259;GO:0006508;GO:0042981;GO:0050856;GO:0009620;GO:0002237;GO:0002223;GO:0042098;GO:0050852
isogroup2825	GO:0010494;GO:0000932;GO:0003730;GO:0003723;GO:0035613;GO:0061630;GO:0008270;GO:0061158;GO:0001782;GO:0071347;GO:0033962;GO:0048535;GO:0046007;GO:0030889;GO:0002635;GO:0045623;GO:0000956;GO:0000288;GO:0061014;GO:1901224;GO:0010608;GO:0002634;GO:0043488;GO:0050856;GO:0048536;GO:0043029;GO:0042098;GO:0061470
isogroup111638	GO:0005737;GO:0005829;GO:0097504;GO:0016020;GO:0016604;GO:0005654;GO:0032797;GO:0034718;GO:0034719;GO:0003730;GO:0043022;GO:0000340;GO:0003723;GO:0017069;GO:0030619;GO:0030621;GO:0030622;GO:0006417;GO:0000387;GO:0006412
isogroup17224	GO:0031966;GO:0005747;GO:0008137;GO:0003954;GO:0045333;GO:0030308;GO:2001243;GO:0072593
isogroup16521	GO:0003824
isogroup329746	GO:0005887;GO:0044736;GO:0071467;GO:0070207;GO:0035725
isogroup21200	GO:0031902;GO:0005765;GO:0005764;GO:0005819;GO:0005525;GO:0007049;GO:0051301;GO:0007059;GO:0007264
isogroup150478	GO:0030424;GO:0005737;GO:0043231;GO:0031965;GO:0005634;GO:0016605;GO:0050681;GO:0003677;GO:0061630;GO:0004842;GO:0008270;GO:0030517;GO:0045893;GO:0043161;GO:0044314;GO:0070936;GO:0085020;GO:0060765;GO:0006355;GO:0006511
isogroup34362	GO:0060170;GO:0005737;GO:0005856;GO:0016021;GO:0005634;GO:0007224
isogroup6442	GO:0016021;GO:0005743;GO:0005749;GO:0009055;GO:0020037;GO:0046872;GO:0000104;GO:0006099
isogroup13718	GO:0005737;GO:0000790;GO:0005634;GO:0003682;GO:0046872;GO:0043565;GO:0003705;GO:0001078;GO:0060070;GO:0060536;GO:0003273;GO:0071364;GO:0044344;GO:0071479;GO:0035921;GO:0001837;GO:0003198;GO:0060429;GO:2000811;GO:0090090;GO:0035414;GO:0006933;GO:0033629;GO:1900387;GO:0032331;GO:0043518;GO:2001240;GO:1902230;GO:0010839;GO:2000647;GO:0000122;GO:0010957;GO:0070563;GO:0014032;GO:0007219;GO:0001649;GO:0060021;GO:0043473;GO:0030335;GO:0045600;GO:0035066;GO:2000810;GO:0060693;GO:0032642;GO:0045667;GO:0007605;GO:0006351;GO:0050872
isogroup259930	GO:0005737;GO:0047150;GO:0008270;GO:0006579;GO:0055123;GO:0009086;GO:0003323
isogroup22607	GO:0030054;GO:0030425;GO:0005783;GO:0005795;GO:0005886;GO:0045211;GO:0045202;GO:0008021;GO:0030008;GO:0017112;GO:0016358;GO:0006888;GO:0045212;GO:0016192
isogroup111364	GO:0000784;GO:0005654;GO:0035312;GO:0003684;GO:0006281;GO:0006303;GO:0036297;GO:0000715;GO:0031848
isogroup3579	GO:0030673;GO:0009986;GO:0070062;GO:0016021;GO:0008046;GO:0042802;GO:0061364;GO:0007411;GO:0016199;GO:0007420;GO:0032870;GO:0007417;GO:0007156;GO:0001656;GO:0050925;GO:0051964;GO:0021891;GO:0050772;GO:0031290;GO:0035385;GO:0021510;GO:0001657
isogroup17911	GO:0016021;GO:0005634;GO:0060612;GO:0045444;GO:0006629;GO:0019915;GO:0051647;GO:0001558;GO:0007283
isogroup73013	GO:0016021;GO:0005886;GO:0015297;GO:0008233;GO:0006885;GO:0006814
isogroup50126	GO:0005929;GO:0005737;GO:0030286;GO:0005874;GO:0005886;GO:0005524;GO:0016887;GO:0003777;GO:0030030;GO:0007018;GO:0007275
isogroup123884	GO:0016021;GO:0005886;GO:0005230
isogroup127024	GO:0005576;GO:0005509;GO:0004222;GO:0008237;GO:0008233;GO:0008270;GO:0001568;GO:0048264;GO:0009953;GO:0035124;GO:0035162;GO:0001885;GO:0001707;GO:0030513;GO:0036342;GO:0006508
isogroup331412	GO:0016021;GO:0005886;GO:0007275
isogroup70387	GO:0005737;GO:0004754;GO:0009085;GO:0019878
isogroup490288	GO:0005887;GO:0016020;GO:0005886;GO:0015171;GO:0015181;GO:0006865;GO:0006810
isogroup33090	GO:0016021;GO:0016020;GO:0005886;GO:0032420;GO:0005509;GO:0006816;GO:0016339;GO:0050957;GO:0007156;GO:0060122;GO:0007626;GO:0045494;GO:0051480;GO:0050896;GO:0050953;GO:0007605;GO:0007601
isogroup55656	GO:0005769;GO:0031901;GO:0072546;GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0005886;GO:0022890;GO:0015095;GO:0098655;GO:0015693
isogroup42336	GO:0005887;GO:0007166
isogroup64810	GO:0009535;GO:0016021;GO:0030076;GO:0009523;GO:0016168;GO:0009765;GO:0018298
isogroup57719	GO:0016021;GO:0005886;GO:0004930;GO:0007166;GO:0007186;GO:0010579
isogroup48995	GO:0005654;GO:0005634;GO:0005089;GO:0035023
isogroup20310	GO:0016324;GO:0034704;GO:0005813;GO:0005829;GO:0031965;GO:0004115;GO:0051117;GO:0030552;GO:0008144;GO:0044325;GO:0046872;GO:0097110;GO:0007568;GO:0006198;GO:0071872;GO:0071222;GO:0061028;GO:0050900;GO:0035264;GO:0045822;GO:0033137;GO:1901898;GO:0030593;GO:0032729;GO:0032743;GO:0032754;GO:0030814;GO:0086004;GO:1901844;GO:0002027;GO:0010880;GO:0060314;GO:0006939;GO:0050852
isogroup62164	GO:0005737;GO:0004842;GO:0042787
isogroup335771	GO:0043194;GO:0009986;GO:0043034;GO:0030425;GO:0014704;GO:0005764;GO:0031594;GO:0043005;GO:0033268;GO:0005886;GO:0045211;GO:0042383;GO:0016529;GO:0014731;GO:0030315;GO:0030018;GO:0045296;GO:0008092;GO:0044325;GO:0030674;GO:0030507;GO:0071286;GO:0010960;GO:0071709;GO:1902260;GO:0007528;GO:2001259;GO:0010650;GO:0010628;GO:0034112;GO:1900827;GO:0045838;GO:0090314;GO:2000651;GO:0010765;GO:0072659;GO:0072661;GO:0043266;GO:0007165
isogroup18796	GO:0005634;GO:0046872;GO:0004518
isogroup112353	GO:0034707;GO:0005886;GO:0005254
isogroup65996	GO:0005737;GO:0005829;GO:0070062;GO:0005925;GO:0030660;GO:0016020;GO:0005886;GO:0019034;GO:0004430;GO:0005524;GO:0045296;GO:0016301;GO:0044803;GO:0006661;GO:0046854;GO:0048015;GO:0016310;GO:0007165;GO:0046786;GO:0039694
isogroup600728	GO:0005743;GO:0008812;GO:0050660;GO:0019285
isogroup29029	GO:0005964;GO:0005886;GO:0005516;GO:0003824;GO:0005977;GO:0006468
isogroup4002	GO:0009986;GO:0030669;GO:0030425;GO:0005887;GO:0005874;GO:0043025;GO:0005886;GO:0005524;GO:1904929;GO:0005109;GO:0046872;GO:0004714;GO:0017147;GO:0014002;GO:0030509;GO:0030282;GO:0001502;GO:0045165;GO:0042733;GO:0030538;GO:0042472;GO:0007254;GO:1905517;GO:0030539;GO:0007275;GO:0090090;GO:0008285;GO:0090263;GO:0030335;GO:0043507;GO:0045651;GO:1900020;GO:0051968;GO:0045893;GO:0007165;GO:0060395;GO:0007224;GO:0001756;GO:0007169;GO:0007223;GO:0060071
isogroup117632	
isogroup267557	GO:0005634;GO:0004190;GO:0003677;GO:0003887;GO:0004519;GO:0046872;GO:0003723;GO:0003964;GO:0015074;GO:0006310
isogroup186884	GO:0005829;GO:0045111;GO:0016020;GO:0005730;GO:0005634;GO:0030687;GO:0005524;GO:0016887;GO:0051082;GO:0006461;GO:0000027;GO:0006364
isogroup214638	GO:0030424;GO:0031594;GO:0005634;GO:0036062;GO:0045202;GO:0031435;GO:0019903;GO:0061630;GO:0008270;GO:0010171;GO:0033563;GO:0040011;GO:1905869;GO:0030517;GO:0048843;GO:0048692;GO:0048681;GO:1902230;GO:0043409;GO:1905490;GO:0018991;GO:1905608;GO:0051965;GO:1905868;GO:0048841;GO:1905815;GO:1905812;GO:1905606;GO:0031647;GO:1905489;GO:0050807;GO:0008582;GO:0006355;GO:0006351
isogroup129943	GO:0016021;GO:0019838;GO:0008201;GO:0046872;GO:0017154;GO:0005021;GO:0001525;GO:0009887;GO:0048675;GO:0007411;GO:0007413;GO:0051216;GO:0035767;GO:0007508;GO:0008045;GO:0001755;GO:0045765;GO:0030947;GO:0001666;GO:0002040;GO:0048538;GO:0048010;GO:0001944;GO:0001570
isogroup56247	GO:0032541;GO:0005783;GO:0005789;GO:0030176;GO:0005887;GO:0005874;GO:0016529;GO:0033017;GO:0005246;GO:0005509;GO:0042802;GO:0051010;GO:0002020;GO:0032237;GO:0006874;GO:0005513;GO:0070166;GO:0051924;GO:1903779;GO:2001256;GO:0002115
isogroup7157	GO:0005654;GO:0036459;GO:0016579;GO:0006511
isogroup350836	GO:0043197;GO:0005887;GO:0043025;GO:0005886;GO:0044736;GO:0022839;GO:0015280;GO:0007417;GO:0007268;GO:0050974;GO:0034220;GO:0015672;GO:0043066;GO:0007422;GO:0007602;GO:0051965;GO:0035418;GO:0030193;GO:0010468;GO:0034765;GO:0042391;GO:0003026;GO:0019229;GO:0010447;GO:0007605;GO:0050915
isogroup355028	GO:0005737;GO:0070062;GO:0005615;GO:0004021;GO:0030170;GO:0009058;GO:0042853
isogroup22301	GO:0005829;GO:0016020;GO:0005634;GO:0003950;GO:0003723;GO:0006355;GO:0006351
isogroup60631	GO:0005743;GO:0005762;GO:0005739;GO:0003723;GO:0003735;GO:0070125;GO:0070124
isogroup24000	GO:0005576;GO:0004560;GO:0006004
isogroup21622	GO:0005829;GO:0005768;GO:0016020;GO:0045296;GO:0032794;GO:0005096;GO:0005085;GO:0006897;GO:0051223;GO:0007165
isogroup521920	GO:0031261;GO:0016604;GO:0000784;GO:0005664;GO:0005656;GO:0005654;GO:0000808;GO:0003688;GO:0006260;GO:0006270;GO:0061351;GO:0006267
isogroup31499	GO:0005737;GO:0015630;GO:0032510;GO:0007040;GO:0042267;GO:0043473;GO:0015031
isogroup509873	GO:0016021
isogroup72374	GO:0005634;GO:0003677;GO:0003700;GO:0008270;GO:0000122;GO:0006351
isogroup2612	GO:0016460;GO:0001725;GO:0030018;GO:0005509;GO:0032036;GO:0070527
isogroup145927	GO:0000139;GO:0016021;GO:0008375;GO:0006493
isogroup13808	GO:0005581;GO:0005737;GO:0005615;GO:0005578;GO:0005109;GO:0017147;GO:0016477;GO:0090103;GO:0090177;GO:0060122;GO:0090090;GO:0043932;GO:0045669;GO:0033690;GO:0032092;GO:0060071
isogroup280600	GO:0016021;GO:0005886;GO:0007166
isogroup81686	GO:0005737;GO:0005829;GO:0005783;GO:0005794;GO:0097457;GO:0005622;GO:0045121;GO:0005759;GO:0005634;GO:0048471;GO:0005886;GO:0042734;GO:0030552;GO:0030553;GO:0004118;GO:0004112;GO:0008144;GO:0046872;GO:0042803;GO:0006198;GO:0019933;GO:0071321;GO:0035690;GO:0097011;GO:0036006;GO:0071260;GO:0046069;GO:0019934;GO:0061028;GO:0030818;GO:0033159;GO:0000122;GO:0043116;GO:0050729;GO:0043117;GO:0006626;GO:1904880
isogroup479296	GO:0031012;GO:0005509;GO:0004222;GO:0008270
isogroup273510	GO:0070062;GO:0005615;GO:0005764;GO:0016020;GO:0005739;GO:0005654;GO:0047499;GO:0008374;GO:0006672;GO:0006631;GO:0006650;GO:0034638;GO:0046470;GO:0046338
isogroup32620	GO:0005813;GO:0005829;GO:0070652;GO:0005874;GO:0015630;GO:0005739;GO:0005654;GO:0005819;GO:0051301;GO:0007098;GO:0097711;GO:0000086;GO:0051225
isogroup2408	GO:0005856
isogroup429823	GO:0005618;GO:0009507;GO:0016020;GO:0005743;GO:0005758;GO:0005759;GO:0005741;GO:0005750;GO:0005739;GO:0005730;GO:0005774;GO:0004222;GO:0016491;GO:0008270;GO:0009060;GO:0006122;GO:0016485
isogroup29478	GO:0003676;GO:0015074
isogroup210924	GO:0005576;GO:0015485;GO:0000287;GO:0032934;GO:0015918
isogroup51308	GO:0005813;GO:0036064;GO:0005737;GO:0016021;GO:0016520;GO:0051216;GO:0030030;GO:0048706;GO:0001701;GO:0014032;GO:0001503;GO:1903012;GO:0061036;GO:0045724;GO:0009791
isogroup173014	GO:0005737;GO:0005615;GO:0005578;GO:0046872;GO:0008191;GO:0002020;GO:0007568;GO:0007417;GO:0043086;GO:0051045;GO:0045861;GO:0043200;GO:0043627;GO:0051593;GO:0009725;GO:0009612;GO:0014070;GO:0010033;GO:0042246
isogroup8142	GO:0005737;GO:0005634;GO:0005524;GO:0004693
isogroup612295	GO:0016021;GO:0005887;GO:0098793;GO:0004952;GO:0001588;GO:0004930;GO:0007191;GO:0008306;GO:0071329;GO:0007212;GO:0007612;GO:0007613;GO:0008355;GO:0090328;GO:0099509;GO:1990834;GO:0042594;GO:0009744;GO:0040040;GO:0043052;GO:0008542
isogroup97289	GO:0046872;GO:0003964;GO:0009036;GO:0006310;GO:0090305;GO:0032199;GO:0032197
isogroup163141	
isogroup87800	GO:0005829;GO:0047617;GO:0052689;GO:0102991;GO:0016290;GO:0006637;GO:0001676;GO:0035338;GO:0000038
isogroup94164	GO:0016021;GO:0014704;GO:0005743;GO:0005886;GO:0003231;GO:1903779
isogroup4832	GO:0005634;GO:0003723;GO:0003700;GO:0008270
isogroup20580	GO:0005813;GO:0005929;GO:0031410;GO:0030992;GO:0005634;GO:0048487;GO:0003682;GO:0060271;GO:0007368;GO:0008544;GO:0007507;GO:0042073;GO:0035735;GO:0003334;GO:0050680;GO:1905515;GO:0007219;GO:0033630;GO:0045944
isogroup267328	GO:0070062;GO:0005794;GO:0000139;GO:0016021;GO:0008375;GO:0030144;GO:0016757;GO:0006487
isogroup197786	GO:0005829;GO:0047402;GO:0005975
isogroup59124	GO:0005694;GO:0016607;GO:0018024;GO:0003723;GO:0002244;GO:0006355;GO:0006351
isogroup108399	GO:0032579;GO:0031410;GO:0005615;GO:0005509
isogroup349320	GO:0000139;GO:0016021;GO:0008459;GO:0001517;GO:0008146;GO:0005975;GO:0030206;GO:0006790
isogroup383511	GO:0005813;GO:0005737;GO:0030496;GO:0072686;GO:1990023;GO:0097431;GO:0007049;GO:0051301;GO:0007346
isogroup13240	GO:0005576;GO:0004222;GO:0008270;GO:0043050;GO:0060465
isogroup370886	GO:0005524;GO:0046872;GO:0004674
isogroup293093	GO:0005737;GO:0000175;GO:0046872;GO:0004654;GO:0003723;GO:0006402;GO:0006396
isogroup103857	GO:0005739;GO:0005719;GO:0103053;GO:0042056;GO:0003906;GO:0043734;GO:0008198;GO:0070579;GO:0016706;GO:0000049;GO:1990984;GO:0030154;GO:0048589;GO:0006307;GO:0080111;GO:0006281;GO:0001701;GO:0043524;GO:0001764;GO:0031175;GO:0070989;GO:0035552;GO:0001890;GO:0010468;GO:0070129;GO:0006448;GO:0006446;GO:0042245;GO:1990983;GO:0002101
isogroup427971	GO:0005615;GO:0043231;GO:0005578;GO:0005109;GO:0005102;GO:0009887;GO:0060070;GO:0045165;GO:0007267;GO:0009267;GO:0002062;GO:0021871;GO:0071425;GO:0060492;GO:0008584;GO:0060638;GO:0030182;GO:0090190;GO:0090263;GO:0007165;GO:0016055
isogroup135774	GO:0005604;GO:0005623;GO:0031012;GO:0005615;GO:0005739;GO:0005886;GO:0030017;GO:0004222;GO:0008270;GO:0001955;GO:0060346;GO:0071230;GO:1990314;GO:0030574;GO:0035987;GO:0060325;GO:0001957;GO:1904932;GO:0061037;GO:0051895;GO:0001933;GO:0045089;GO:1904707;GO:0043408;GO:0001666
isogroup163440	GO:0005887;GO:0098794;GO:0019899;GO:0001609;GO:0042802;GO:0042755;GO:0060080;GO:0007626;GO:0046636;GO:0050728;GO:0010579;GO:2001235;GO:0032230;GO:0001975;GO:0001963
isogroup55712	GO:0005737;GO:0005829;GO:0005634;GO:0005524;GO:0000287;GO:0004709;GO:0004674;GO:0003723;GO:0007257;GO:0000186;GO:0007050;GO:0000075;GO:0008219;GO:0030154;GO:0008283;GO:0007010;GO:0000077;GO:0042733;GO:0035556;GO:0060173;GO:0043065;GO:0006468;GO:0009314;GO:0006950
isogroup20071	GO:0005788;GO:0070062;GO:0046527;GO:0030158;GO:0035251;GO:0035252;GO:0048318;GO:0072358;GO:0007369;GO:0006664;GO:0060537;GO:0048339;GO:0045747;GO:0006493;GO:0018242;GO:0010470;GO:0001756
isogroup8470	GO:0035578;GO:0005829;GO:0070062;GO:0005576;GO:0016020;GO:0005654;GO:0022624;GO:0000502;GO:0005838;GO:0030234;GO:0031145;GO:0002479;GO:0038095;GO:0000165;GO:0090090;GO:0010972;GO:0051436;GO:0043312;GO:0038061;GO:0090263;GO:0051437;GO:0043161;GO:0016579;GO:0000209;GO:0006521;GO:0043488;GO:0061418;GO:0031146;GO:0002223;GO:0050852;GO:0055085;GO:0033209;GO:0060071
isogroup101048	GO:0005929;GO:0005737;GO:0030139;GO:0016021;GO:0005887;GO:0048471;GO:0005886;GO:0008158;GO:0030228;GO:0004888;GO:0048099;GO:0009952;GO:0007411;GO:0001746;GO:0016311;GO:0035225;GO:0009880;GO:0007455;GO:0042078;GO:0008406;GO:0007476;GO:0055088;GO:0045879;GO:0048477;GO:0030707;GO:0007422;GO:0006508;GO:0042981;GO:2000274;GO:0007346;GO:0042306;GO:0007367;GO:0007224;GO:0048103;GO:0048100
isogroup73201	GO:0005737;GO:0016021;GO:0005765;GO:0005764;GO:0006915;GO:0006914;GO:0010506
isogroup39755	GO:0016235;GO:0030424;GO:0005901;GO:0031252;GO:0005737;GO:0005881;GO:0005829;GO:0030425;GO:0000118;GO:0016234;GO:0005874;GO:0005875;GO:0005771;GO:0005654;GO:0005634;GO:0043204;GO:0048471;GO:0003779;GO:0043014;GO:0008013;GO:0048487;GO:0001047;GO:0070840;GO:0019899;GO:0004407;GO:0042826;GO:0051879;GO:0008017;GO:0051787;GO:0032041;GO:0031593;GO:0048156;GO:0042903;GO:0031625;GO:0008270;GO:0070842;GO:0006914;GO:0070301;GO:0071218;GO:0035967;GO:0060271;GO:0048668;GO:0060997;GO:0016575;GO:0070846;GO:0006886;GO:0032418;GO:0006515;GO:0051646;GO:0010727;GO:0007026;GO:0051354;GO:0043242;GO:0045861;GO:0045892;GO:0061734;GO:0034983;GO:0070845;GO:0090035;GO:0010634;GO:1901300;GO:0010870;GO:0009967;GO:0043241;GO:0006476;GO:0000209;GO:0060765;GO:0010506;GO:0070201;GO:0045598;GO:0040029;GO:0016241;GO:0060632;GO:1903146;GO:0031647;GO:0010469;GO:0070848;GO:0051788;GO:0010033;GO:0009636;GO:0006351;GO:0090042;GO:0043162
isogroup193322	GO:0043231;GO:0016020;GO:0004519;GO:0003723;GO:0009451
isogroup139038	GO:0004190
isogroup26927	GO:0070822;GO:0042826;GO:0016575;GO:0000122;GO:0006351
isogroup105529	GO:0031177;GO:0016747;GO:0033068
isogroup62098	GO:0005737;GO:0005829;GO:0031965;GO:0005654;GO:0005634;GO:0005524;GO:0004550;GO:0019206;GO:0050145;GO:0006756;GO:0006757;GO:0061508;GO:0061566;GO:0006174;GO:0061565;GO:0061570;GO:0061567;GO:0006186;GO:0061568;GO:0015949;GO:0061571;GO:0061569
isogroup4768	GO:0005929;GO:0005737;GO:0030425;GO:0005874;GO:0043204;GO:0005524;GO:0070740;GO:0030154;GO:0007399;GO:0018095
isogroup110104	GO:0005743;GO:0005762;GO:0003735;GO:0070125;GO:0070124
isogroup350864	GO:0005654;GO:0046872;GO:0043565;GO:0007049;GO:0006355;GO:0006351
isogroup31726	GO:0005882;GO:0005198
isogroup646981	GO:0005929;GO:0005737;GO:0030286;GO:0005874;GO:0005524;GO:0005509;GO:0003777;GO:0007018
isogroup13263	GO:0005887;GO:0005178;GO:0007166
isogroup86962	GO:0005813;GO:0005737;GO:0005829;GO:0097730;GO:0005634;GO:0005886;GO:0030331;GO:0003341;GO:0007368;GO:0036159;GO:0001764;GO:0036158;GO:0033146;GO:0061136
isogroup137023	GO:0005737;GO:0005634;GO:0035861;GO:0005524;GO:0043141;GO:0004004;GO:0017116;GO:0006974;GO:0006281;GO:0006260;GO:0006269;GO:2000042;GO:1903775;GO:0006396
isogroup56166	GO:0005737;GO:0005874;GO:0005634;GO:0043234;GO:0005876;GO:0000795;GO:0003684;GO:0003887;GO:0019899;GO:0016829;GO:0046872;GO:0008017;GO:0007568;GO:0006915;GO:0006284;GO:0006287;GO:0006974;GO:0006260;GO:0048872;GO:0071707;GO:0006954;GO:0008630;GO:0048535;GO:0051402;GO:0006290;GO:0045471;GO:0010332;GO:0055093;GO:0007435;GO:0016445;GO:0016446;GO:0048536
isogroup25679	GO:0005737;GO:0031410;GO:0005783;GO:0008417;GO:0005112;GO:0046922;GO:0009790;GO:0006897;GO:0006004;GO:0046331;GO:0045746;GO:0007219;GO:0016266;GO:0045747;GO:0030163;GO:0036066;GO:0006493;GO:0008593;GO:0006355;GO:0016337
isogroup7125	GO:0016324;GO:0009986;GO:0005911;GO:0005737;GO:0005789;GO:0070062;GO:0016021;GO:0005887;GO:0043025;GO:0005886;GO:0015269;GO:0008233;GO:0004252;GO:0070008;GO:0008236;GO:0034769;GO:0042632;GO:0090103;GO:0050910;GO:0060429;GO:0010693;GO:0043066;GO:0050680;GO:0010719;GO:0097195;GO:0043923;GO:0030307;GO:0010628;GO:2000347;GO:0010756;GO:2000611;GO:0071805;GO:0006508;GO:0008360;GO:0097066;GO:0007605
isogroup13598	GO:0005938;GO:0005905;GO:0031410;GO:0005856;GO:0005764;GO:0005886;GO:0008289;GO:0006897
isogroup192773	GO:0005737;GO:0005634;GO:0005819;GO:0005516;GO:0051301;GO:0007051
isogroup24380	GO:0009986;GO:0005576;GO:0045121;GO:0072534;GO:0005578;GO:0008306;GO:0007411;GO:0007155;GO:0030198;GO:0035641;GO:0060291;GO:0048692;GO:0022408;GO:0050805;GO:0050885;GO:0007158;GO:0051968;GO:0051971;GO:0050808;GO:0022029
isogroup615472	GO:0005737;GO:0005887;GO:0016020;GO:0005886;GO:0036057;GO:0003779;GO:0042805;GO:0051117;GO:0005262;GO:0030276;GO:0070679;GO:0015279;GO:0007568;GO:0070588;GO:0006812;GO:0070301;GO:0071456;GO:0006828;GO:0050774;GO:0030182;GO:0030168;GO:0051928;GO:0007204;GO:0032414;GO:0045666;GO:0010800;GO:0051480;GO:0007338
isogroup552269	GO:0016021
isogroup213362	GO:0005737;GO:0000175;GO:0046872;GO:0004654;GO:0003723;GO:0006402;GO:0006396
isogroup137769	GO:0005829;GO:0005789;GO:0000139;GO:0005886;GO:0005092;GO:0030154;GO:0007399;GO:0008277
isogroup105934	GO:0070531;GO:0031436;GO:0005737;GO:0016607;GO:0005654;GO:0005634;GO:0000932;GO:0000151;GO:0019900;GO:0046982;GO:0042803;GO:0003723;GO:0004842;GO:0008270;GO:0007050;GO:0006974;GO:0000729;GO:0006260;GO:0000731;GO:0006303;GO:0043066;GO:0031441;GO:0046826;GO:0043065;GO:0045732;GO:0016579;GO:0085020;GO:0016567;GO:0042325;GO:1901796;GO:0000732;GO:0001894
isogroup41218	GO:0005887;GO:0042802;GO:0008195;GO:0046839;GO:0006644;GO:0007165
isogroup49315	GO:0000790;GO:0046975;GO:0042800;GO:0003713;GO:0010452;GO:0051568;GO:0018027;GO:0018026;GO:0018023;GO:0045944;GO:0045893;GO:0006351
isogroup5876	GO:0005737;GO:0005576;GO:0005615;GO:0016021;GO:0048471;GO:0005886;GO:0005125;GO:0005102;GO:0005164;GO:0031296;GO:0001782;GO:0008283;GO:0006955;GO:0048305;GO:0030890;GO:0008284;GO:0002636;GO:0042102;GO:0007165;GO:0031295;GO:0033209
isogroup95289	GO:0005524;GO:0004399;GO:0051287;GO:0004635;GO:0004636;GO:0008270;GO:0000105
isogroup499215	GO:0030054;GO:0005737;GO:0038039;GO:1902710;GO:0005887;GO:0043005;GO:0005886;GO:0045211;GO:0004965;GO:0046982;GO:0007268;GO:0007186;GO:0007214;GO:0007194
isogroup223377	GO:0005783;GO:0005789;GO:0016021;GO:0001888;GO:0046872;GO:0006024;GO:0015012
isogroup64381	GO:0005604;GO:0070062;GO:0005576;GO:0005615;GO:0005622;GO:0001527;GO:0005509;GO:0005201;GO:0008201;GO:0005179;GO:0005178;GO:0034199;GO:0009653;GO:0043010;GO:0033627;GO:0048048;GO:0042593;GO:0006006;GO:0007507;GO:2001205;GO:0048050;GO:0010737;GO:0090287;GO:0035582;GO:0035583;GO:0001501
isogroup168893	GO:0034707;GO:0005783;GO:0005794;GO:0005634;GO:0005254
isogroup8051	GO:0005829;GO:0005730;GO:0005634;GO:0005886;GO:0016874;GO:0003723;GO:0000977;GO:0003700;GO:0001078;GO:0008270;GO:0006954;GO:0045347;GO:0000122;GO:0006366;GO:0016032
isogroup257231	GO:0005840;GO:0003735;GO:0006412
isogroup130633	GO:0000932;GO:0035198;GO:0030371;GO:0061630;GO:0004842;GO:0008270;GO:0061158;GO:0008543;GO:0000082;GO:0035278;GO:0010586;GO:0017148;GO:0001843;GO:0021915;GO:2000637;GO:0051865;GO:0060964;GO:2000177;GO:0072089
isogroup14625	GO:0005829;GO:0061630;GO:0090090
isogroup229191	GO:0005739;GO:0043457
isogroup134804	GO:0016021;GO:0043005;GO:0032589;GO:0015485;GO:0050976;GO:0050961;GO:0007638;GO:1905789;GO:1905792;GO:0009612;GO:0040040
isogroup208663	GO:0005829;GO:0005886;GO:0051260
isogroup522313	GO:0031467;GO:0019005;GO:0016567;GO:0006511
isogroup56445	GO:0005768;GO:0045335;GO:0030670;GO:0005886;GO:0008021;GO:0019003;GO:0005525;GO:0003924;GO:0072659;GO:0009306;GO:0006904
isogroup579402	GO:0016020;GO:0047442;GO:0020037;GO:0005506;GO:0004508;GO:0007548;GO:0006694
isogroup171532	GO:0005737;GO:0005634;GO:0003723;GO:0006397;GO:0051028;GO:0006417
isogroup72245	GO:0004794;GO:0000166;GO:0030170;GO:0070689
isogroup102245	GO:0016021;GO:0005886;GO:0005774;GO:0015171;GO:0015175;GO:0003333;GO:0015804
isogroup204758	GO:0005813;GO:0005829;GO:0016020;GO:0005741;GO:0005634;GO:0048471;GO:0005524;GO:0019899;GO:0043015;GO:0019215;GO:0046872;GO:0004550;GO:0019901;GO:0000977;GO:0003697;GO:0035690;GO:0071398;GO:0071333;GO:0006241;GO:0006897;GO:0006183;GO:0021766;GO:0010629;GO:0002762;GO:0006165;GO:0010976;GO:0014075;GO:0051591;GO:0042493;GO:0033574;GO:0006228
isogroup85797	GO:0005829;GO:0005634
isogroup15720	GO:0000439;GO:0005675;GO:0005654;GO:0003682;GO:0006370;GO:0006281;GO:0070911;GO:0000717;GO:0033683;GO:0006295;GO:0006296;GO:0006294;GO:0006293;GO:0070816;GO:0045944;GO:0000079;GO:0006363;GO:0006362;GO:0006368;GO:0006360;GO:0006366;GO:0006361;GO:0006367;GO:0006283
isogroup225128	GO:0016459;GO:0005509
isogroup276071	GO:0031225;GO:0005576;GO:0005886;GO:0046872;GO:0003810;GO:0042628;GO:0018149
isogroup386627	GO:0005524;GO:0004691
