sym3_c0_seq1	sym3
sym72693_c0_seq1	sym72693
sym72693_c0_seq2	sym72693
sym72694_c0_seq1	sym72694
sym72695_c0_seq1	sym72695
sym72695_c0_seq2	sym72695
sym72698_c0_seq1	sym72698
sym72700_c0_seq1	sym72700
sym72705_c0_seq1	sym72705
sym72706_c0_seq1	sym72706
sym72717_c0_seq1	sym72717
sym72717_c0_seq2	sym72717
sym72724_c0_seq1	sym72724
sym72728_c0_seq1	sym72728
sym72734_c0_seq1	sym72734
sym72745_c0_seq1	sym72745
sym72745_c0_seq2	sym72745
sym72746_c0_seq2	sym72746
sym72753_c0_seq1	sym72753
sym72793_c0_seq1	sym72793
sym72812_c0_seq1	sym72812
sym72824_c0_seq2	sym72824
sym72844_c0_seq1	sym72844
sym72852_c0_seq1	sym72852
sym72854_c0_seq1	sym72854
sym72854_c0_seq2	sym72854
sym72868_c0_seq1	sym72868
sym72879_c0_seq1	sym72879
sym72879_c0_seq2	sym72879
sym72891_c0_seq1	sym72891
sym72896_c0_seq1	sym72896
sym72896_c0_seq2	sym72896
sym72898_c0_seq1	sym72898
sym72914_c0_seq1	sym72914
sym72916_c0_seq1	sym72916
sym72919_c0_seq1	sym72919
sym72942_c0_seq1	sym72942
sym72942_c0_seq2	sym72942
sym72972_c0_seq1	sym72972
sym73033_c0_seq1	sym73033
sym73033_c0_seq2	sym73033
sym73036_c0_seq1	sym73036
sym73056_c0_seq1	sym73056
sym73070_c0_seq1	sym73070
sym73090_c0_seq1	sym73090
sym73096_c0_seq1	sym73096
sym73131_c0_seq1	sym73131
sym73131_c0_seq2	sym73131
sym73132_c0_seq1	sym73132
sym73136_c0_seq1	sym73136
sym73140_c0_seq1	sym73140
sym73143_c0_seq1	sym73143
sym73159_c0_seq1	sym73159
sym73164_c0_seq1	sym73164
sym73173_c0_seq1	sym73173
sym73180_c0_seq1	sym73180
sym73180_c0_seq2	sym73180
sym73206_c0_seq1	sym73206
sym73212_c0_seq1	sym73212
sym73218_c0_seq1	sym73218
sym73229_c0_seq1	sym73229
sym73242_c0_seq1	sym73242
sym73242_c0_seq2	sym73242
sym73248_c0_seq1	sym73248
sym73252_c0_seq1	sym73252
sym73272_c0_seq1	sym73272
sym73284_c0_seq1	sym73284
sym73287_c0_seq1	sym73287
sym73294_c0_seq1	sym73294
sym73307_c0_seq1	sym73307
sym73311_c0_seq1	sym73311
sym73318_c0_seq1	sym73318
sym73325_c0_seq1	sym73325
sym73333_c0_seq2	sym73333
sym73335_c0_seq1	sym73335
sym73336_c0_seq1	sym73336
sym73346_c0_seq1	sym73346
sym73346_c0_seq2	sym73346
sym73350_c0_seq1	sym73350
sym73365_c0_seq1	sym73365
sym73369_c0_seq1	sym73369
sym73408_c0_seq1	sym73408
sym73415_c0_seq1	sym73415
sym73421_c0_seq1	sym73421
sym73426_c0_seq1	sym73426
sym73443_c0_seq1	sym73443
sym73445_c0_seq1	sym73445
sym73453_c0_seq1	sym73453
sym73486_c0_seq1	sym73486
sym73501_c0_seq1	sym73501
sym73509_c0_seq1	sym73509
sym73528_c0_seq1	sym73528
sym73535_c0_seq1	sym73535
sym73545_c0_seq1	sym73545
sym73559_c0_seq1	sym73559
sym73561_c0_seq1	sym73561
sym73591_c0_seq1	sym73591
sym73628_c0_seq1	sym73628
sym73629_c0_seq2	sym73629
sym73638_c0_seq1	sym73638
sym73639_c0_seq1	sym73639
sym73649_c0_seq1	sym73649
sym73655_c0_seq1	sym73655
sym73662_c0_seq1	sym73662
sym73686_c0_seq1	sym73686
sym73686_c0_seq2	sym73686
sym73695_c0_seq1	sym73695
sym73700_c0_seq2	sym73700
sym73702_c0_seq1	sym73702
sym73709_c0_seq1	sym73709
sym73714_c0_seq1	sym73714
sym73719_c0_seq1	sym73719
sym73722_c0_seq1	sym73722
sym73725_c0_seq1	sym73725
sym73731_c0_seq1	sym73731
sym73744_c0_seq1	sym73744
sym73744_c0_seq2	sym73744
sym73757_c0_seq1	sym73757
sym73758_c0_seq1	sym73758
sym73759_c0_seq1	sym73759
sym73759_c0_seq2	sym73759
sym73761_c0_seq1	sym73761
sym73764_c0_seq1	sym73764
sym73764_c0_seq2	sym73764
sym73816_c0_seq1	sym73816
sym73834_c0_seq1	sym73834
sym73834_c0_seq2	sym73834
sym73840_c0_seq1	sym73840
sym73842_c0_seq1	sym73842
sym73846_c0_seq1	sym73846
sym73853_c0_seq1	sym73853
sym73863_c0_seq1	sym73863
sym73904_c0_seq1	sym73904
sym73928_c0_seq1	sym73928
sym73929_c0_seq1	sym73929
sym73946_c0_seq1	sym73946
sym73946_c0_seq2	sym73946
sym73947_c0_seq1	sym73947
sym73947_c0_seq2	sym73947
sym73950_c0_seq1	sym73950
sym73955_c0_seq1	sym73955
sym73963_c0_seq1	sym73963
sym73978_c0_seq1	sym73978
sym73981_c0_seq1	sym73981
sym73988_c0_seq1	sym73988
sym73988_c0_seq2	sym73988
sym74015_c0_seq1	sym74015
sym74035_c0_seq1	sym74035
sym74036_c0_seq1	sym74036
sym74057_c0_seq1	sym74057
sym74065_c0_seq1	sym74065
sym74085_c0_seq1	sym74085
sym74087_c0_seq1	sym74087
sym74091_c0_seq1	sym74091
sym74096_c0_seq1	sym74096
sym74103_c0_seq1	sym74103
sym74103_c0_seq2	sym74103
sym74112_c0_seq1	sym74112
sym74112_c0_seq2	sym74112
sym74119_c0_seq1	sym74119
sym74135_c0_seq1	sym74135
sym74170_c0_seq1	sym74170
sym74188_c0_seq1	sym74188
sym74189_c0_seq1	sym74189
sym74191_c0_seq1	sym74191
sym74197_c0_seq1	sym74197
sym74220_c0_seq1	sym74220
sym74238_c0_seq1	sym74238
sym74244_c0_seq1	sym74244
sym74249_c0_seq1	sym74249
sym74250_c0_seq1	sym74250
sym74252_c0_seq1	sym74252
sym74260_c0_seq1	sym74260
sym74280_c0_seq1	sym74280
sym74282_c0_seq1	sym74282
sym74288_c0_seq1	sym74288
sym74302_c0_seq1	sym74302
sym74307_c0_seq1	sym74307
sym74307_c0_seq2	sym74307
sym74311_c0_seq1	sym74311
sym74338_c0_seq1	sym74338
sym74345_c0_seq1	sym74345
sym74356_c0_seq1	sym74356
sym74357_c0_seq1	sym74357
sym74364_c0_seq1	sym74364
sym74373_c0_seq1	sym74373
sym74378_c0_seq1	sym74378
sym74403_c0_seq1	sym74403
sym74421_c0_seq1	sym74421
sym74421_c0_seq2	sym74421
sym74424_c0_seq1	sym74424
sym74425_c0_seq1	sym74425
sym74436_c0_seq1	sym74436
sym74436_c0_seq2	sym74436
sym74443_c0_seq1	sym74443
sym74444_c0_seq1	sym74444
sym74450_c0_seq1	sym74450
sym74462_c0_seq1	sym74462
sym74462_c0_seq2	sym74462
sym74462_c0_seq3	sym74462
sym74462_c0_seq4	sym74462
sym74483_c0_seq1	sym74483
sym74487_c0_seq1	sym74487
sym74497_c0_seq1	sym74497
sym74498_c0_seq1	sym74498
sym74503_c0_seq1	sym74503
sym74526_c0_seq1	sym74526
sym74526_c0_seq2	sym74526
sym74530_c0_seq1	sym74530
sym74537_c0_seq1	sym74537
sym74539_c0_seq1	sym74539
sym74544_c0_seq1	sym74544
sym74544_c0_seq2	sym74544
sym74550_c0_seq1	sym74550
sym74571_c0_seq1	sym74571
sym74586_c0_seq1	sym74586
sym74593_c0_seq1	sym74593
sym74593_c0_seq2	sym74593
sym74609_c0_seq1	sym74609
sym74614_c0_seq1	sym74614
sym74637_c0_seq1	sym74637
sym74656_c0_seq1	sym74656
sym74669_c0_seq1	sym74669
sym74676_c0_seq1	sym74676
sym74681_c0_seq1	sym74681
sym74684_c0_seq1	sym74684
sym74694_c0_seq1	sym74694
sym74722_c0_seq1	sym74722
sym74727_c0_seq1	sym74727
sym74727_c0_seq2	sym74727
sym74729_c0_seq2	sym74729
sym74740_c0_seq1	sym74740
sym74744_c0_seq1	sym74744
sym74748_c0_seq1	sym74748
sym74748_c0_seq2	sym74748
sym74754_c0_seq1	sym74754
sym74763_c0_seq1	sym74763
sym74774_c0_seq1	sym74774
sym74783_c0_seq1	sym74783
sym74786_c0_seq1	sym74786
sym74799_c0_seq1	sym74799
sym74810_c0_seq1	sym74810
sym74823_c0_seq2	sym74823
sym74835_c0_seq1	sym74835
sym74840_c0_seq1	sym74840
sym74840_c0_seq2	sym74840
sym74845_c0_seq1	sym74845
sym74856_c0_seq1	sym74856
sym74879_c0_seq1	sym74879
sym74894_c0_seq1	sym74894
sym74904_c0_seq1	sym74904
sym74904_c0_seq2	sym74904
sym74924_c0_seq1	sym74924
sym74956_c0_seq1	sym74956
sym74958_c0_seq1	sym74958
sym74962_c0_seq1	sym74962
sym74963_c0_seq1	sym74963
sym74968_c0_seq1	sym74968
sym74972_c0_seq1	sym74972
sym74975_c0_seq1	sym74975
sym74976_c0_seq1	sym74976
sym75008_c0_seq1	sym75008
sym75012_c0_seq1	sym75012
sym75020_c0_seq1	sym75020
sym75027_c0_seq1	sym75027
sym75050_c0_seq1	sym75050
sym75056_c0_seq1	sym75056
sym75064_c0_seq2	sym75064
sym75069_c0_seq1	sym75069
sym75079_c0_seq1	sym75079
sym75169_c0_seq1	sym75169
sym75191_c0_seq1	sym75191
sym75219_c0_seq1	sym75219
sym75263_c0_seq1	sym75263
sym75268_c0_seq1	sym75268
sym75269_c0_seq1	sym75269
sym75294_c0_seq1	sym75294
sym75305_c0_seq1	sym75305
sym75316_c0_seq1	sym75316
sym75345_c0_seq1	sym75345
sym75370_c0_seq1	sym75370
sym75371_c0_seq1	sym75371
sym75401_c0_seq1	sym75401
sym75401_c0_seq2	sym75401
sym75404_c0_seq1	sym75404
sym75407_c0_seq1	sym75407
sym75415_c0_seq1	sym75415
sym75421_c0_seq1	sym75421
sym75436_c0_seq1	sym75436
sym75441_c0_seq1	sym75441
sym75444_c0_seq1	sym75444
sym75461_c0_seq1	sym75461
sym75512_c0_seq1	sym75512
sym75520_c0_seq1	sym75520
sym75563_c0_seq1	sym75563
sym75564_c0_seq1	sym75564
sym75625_c0_seq1	sym75625
sym75626_c0_seq1	sym75626
sym75663_c0_seq1	sym75663
sym75663_c0_seq2	sym75663
sym75668_c0_seq1	sym75668
sym75669_c0_seq1	sym75669
sym75672_c0_seq1	sym75672
sym75681_c0_seq1	sym75681
sym75703_c0_seq1	sym75703
sym75705_c0_seq1	sym75705
sym75707_c0_seq1	sym75707
sym75715_c0_seq1	sym75715
sym75721_c0_seq2	sym75721
sym75722_c0_seq1	sym75722
sym75732_c0_seq1	sym75732
sym75744_c0_seq1	sym75744
sym75747_c0_seq1	sym75747
sym75758_c0_seq1	sym75758
sym75763_c0_seq1	sym75763
sym75768_c0_seq1	sym75768
sym75768_c0_seq2	sym75768
sym75778_c0_seq1	sym75778
sym75787_c0_seq1	sym75787
sym75787_c0_seq2	sym75787
sym75803_c0_seq1	sym75803
sym75803_c0_seq2	sym75803
sym75815_c0_seq1	sym75815
sym75832_c0_seq1	sym75832
sym75840_c0_seq1	sym75840
sym75846_c0_seq1	sym75846
sym75850_c0_seq1	sym75850
sym75871_c0_seq1	sym75871
sym75879_c0_seq1	sym75879
sym75879_c0_seq2	sym75879
sym75884_c0_seq1	sym75884
sym75887_c0_seq1	sym75887
sym75888_c0_seq1	sym75888
sym75895_c0_seq1	sym75895
sym75957_c0_seq1	sym75957
sym75994_c0_seq1	sym75994
sym76013_c0_seq1	sym76013
sym76021_c0_seq1	sym76021
sym76027_c0_seq1	sym76027
sym76027_c0_seq2	sym76027
sym76033_c0_seq1	sym76033
sym76036_c0_seq1	sym76036
sym76051_c0_seq1	sym76051
sym76051_c0_seq2	sym76051
sym76081_c0_seq1	sym76081
sym76081_c0_seq2	sym76081
sym76082_c0_seq1	sym76082
sym76086_c0_seq1	sym76086
sym76088_c0_seq1	sym76088
sym76099_c0_seq1	sym76099
sym76125_c0_seq1	sym76125
sym76148_c0_seq1	sym76148
sym76151_c0_seq1	sym76151
sym76164_c0_seq1	sym76164
sym76212_c0_seq1	sym76212
sym76220_c0_seq1	sym76220
sym76225_c0_seq1	sym76225
sym76241_c0_seq1	sym76241
sym76243_c0_seq1	sym76243
sym76248_c0_seq1	sym76248
sym76262_c0_seq1	sym76262
sym76266_c0_seq1	sym76266
sym76266_c0_seq2	sym76266
sym76268_c0_seq1	sym76268
sym76280_c0_seq1	sym76280
sym76297_c0_seq1	sym76297
sym76313_c0_seq2	sym76313
sym76346_c0_seq1	sym76346
sym76347_c0_seq1	sym76347
sym76361_c0_seq1	sym76361
sym76365_c0_seq1	sym76365
sym76365_c0_seq2	sym76365
sym76368_c0_seq2	sym76368
sym76416_c0_seq1	sym76416
sym76443_c0_seq1	sym76443
sym76446_c0_seq1	sym76446
sym76450_c0_seq1	sym76450
sym76458_c0_seq1	sym76458
sym76460_c0_seq1	sym76460
sym76460_c0_seq2	sym76460
sym76468_c0_seq1	sym76468
sym76470_c0_seq1	sym76470
sym76483_c0_seq1	sym76483
sym76518_c0_seq1	sym76518
sym76522_c0_seq1	sym76522
sym76534_c0_seq1	sym76534
sym76535_c0_seq1	sym76535
sym76535_c0_seq2	sym76535
sym76536_c0_seq1	sym76536
sym76551_c0_seq1	sym76551
sym76556_c0_seq1	sym76556
sym76586_c0_seq1	sym76586
sym76602_c0_seq1	sym76602
sym76616_c0_seq2	sym76616
sym76621_c0_seq1	sym76621
sym76625_c0_seq1	sym76625
sym76637_c0_seq1	sym76637
sym76656_c0_seq1	sym76656
sym76656_c0_seq2	sym76656
sym76684_c0_seq1	sym76684
sym76696_c0_seq1	sym76696
sym76709_c0_seq1	sym76709
sym76719_c0_seq1	sym76719
sym76727_c0_seq1	sym76727
sym76732_c0_seq1	sym76732
sym76735_c0_seq1	sym76735
sym76736_c0_seq1	sym76736
sym76782_c0_seq1	sym76782
sym76785_c0_seq1	sym76785
sym76785_c0_seq2	sym76785
sym76787_c0_seq1	sym76787
sym76807_c0_seq1	sym76807
sym76819_c0_seq1	sym76819
sym76819_c0_seq2	sym76819
sym76836_c0_seq1	sym76836
sym76841_c0_seq1	sym76841
sym76841_c0_seq2	sym76841
sym76850_c0_seq1	sym76850
sym76865_c0_seq1	sym76865
sym76866_c0_seq1	sym76866
sym76868_c0_seq1	sym76868
sym76870_c0_seq1	sym76870
sym76874_c0_seq1	sym76874
sym76882_c0_seq1	sym76882
sym76886_c0_seq1	sym76886
sym76892_c0_seq1	sym76892
sym76892_c0_seq2	sym76892
sym76893_c0_seq1	sym76893
sym76893_c0_seq2	sym76893
sym76904_c0_seq1	sym76904
sym76904_c0_seq2	sym76904
sym76918_c0_seq1	sym76918
sym76930_c0_seq1	sym76930
sym76939_c0_seq1	sym76939
sym76945_c0_seq1	sym76945
sym76945_c0_seq2	sym76945
sym76948_c0_seq1	sym76948
sym76964_c0_seq1	sym76964
sym76973_c0_seq1	sym76973
sym77024_c0_seq1	sym77024
sym77030_c0_seq1	sym77030
sym77033_c0_seq1	sym77033
sym77054_c0_seq1	sym77054
sym77055_c0_seq2	sym77055
sym77057_c0_seq1	sym77057
sym77067_c0_seq1	sym77067
sym77068_c0_seq1	sym77068
sym77076_c0_seq1	sym77076
sym77084_c0_seq1	sym77084
sym77089_c0_seq1	sym77089
sym77094_c0_seq1	sym77094
sym77094_c0_seq2	sym77094
sym77108_c0_seq1	sym77108
sym77109_c0_seq1	sym77109
sym77120_c0_seq1	sym77120
sym77149_c0_seq1	sym77149
sym77165_c0_seq1	sym77165
sym77168_c0_seq1	sym77168
sym77169_c0_seq1	sym77169
sym77174_c0_seq1	sym77174
sym77175_c0_seq1	sym77175
sym77180_c0_seq1	sym77180
sym77190_c0_seq1	sym77190
sym77224_c0_seq1	sym77224
sym77231_c0_seq1	sym77231
sym77244_c0_seq1	sym77244
sym77249_c0_seq1	sym77249
sym77255_c0_seq1	sym77255
sym77277_c0_seq1	sym77277
sym77288_c0_seq1	sym77288
sym77304_c0_seq1	sym77304
sym77311_c0_seq1	sym77311
sym77325_c0_seq1	sym77325
sym77327_c0_seq1	sym77327
sym77332_c0_seq1	sym77332
sym77336_c0_seq1	sym77336
sym77360_c0_seq1	sym77360
sym77363_c0_seq1	sym77363
sym77363_c0_seq2	sym77363
sym77367_c0_seq1	sym77367
sym77376_c0_seq1	sym77376
sym77378_c0_seq1	sym77378
sym77387_c0_seq1	sym77387
sym77392_c0_seq1	sym77392
sym77405_c0_seq1	sym77405
sym77431_c0_seq1	sym77431
sym77445_c0_seq1	sym77445
sym77453_c0_seq1	sym77453
sym77468_c0_seq1	sym77468
sym77469_c0_seq1	sym77469
sym77470_c0_seq1	sym77470
sym77475_c0_seq1	sym77475
sym77475_c0_seq2	sym77475
sym77479_c0_seq1	sym77479
sym77481_c0_seq1	sym77481
sym77481_c0_seq2	sym77481
sym77489_c0_seq1	sym77489
sym77514_c0_seq1	sym77514
sym77522_c0_seq1	sym77522
sym77530_c0_seq1	sym77530
sym77531_c0_seq1	sym77531
sym77553_c0_seq1	sym77553
sym77558_c0_seq1	sym77558
sym77563_c0_seq1	sym77563
sym77566_c0_seq1	sym77566
sym77566_c0_seq2	sym77566
sym77570_c0_seq1	sym77570
sym77570_c1_seq1	sym77570
sym77575_c0_seq1	sym77575
sym77577_c0_seq1	sym77577
sym77581_c0_seq1	sym77581
sym77584_c0_seq1	sym77584
sym77588_c0_seq1	sym77588
sym77589_c0_seq1	sym77589
sym77593_c0_seq1	sym77593
sym77598_c0_seq1	sym77598
sym77605_c0_seq1	sym77605
sym77609_c0_seq1	sym77609
sym77617_c0_seq1	sym77617
sym77630_c0_seq1	sym77630
sym77633_c0_seq1	sym77633
sym77652_c0_seq1	sym77652
sym77655_c0_seq1	sym77655
sym77655_c0_seq2	sym77655
sym77658_c0_seq1	sym77658
sym77660_c0_seq1	sym77660
sym77661_c0_seq1	sym77661
sym77668_c0_seq1	sym77668
sym77671_c0_seq1	sym77671
sym77673_c0_seq1	sym77673
sym77674_c0_seq2	sym77674
sym77675_c0_seq1	sym77675
sym77677_c0_seq1	sym77677
sym77688_c0_seq1	sym77688
sym77697_c0_seq1	sym77697
sym77700_c0_seq1	sym77700
sym77701_c0_seq1	sym77701
sym77701_c0_seq2	sym77701
sym77723_c0_seq1	sym77723
sym77729_c0_seq1	sym77729
sym77732_c0_seq1	sym77732
sym77734_c0_seq1	sym77734
sym77743_c0_seq1	sym77743
sym77743_c0_seq2	sym77743
sym77745_c0_seq1	sym77745
sym77751_c0_seq1	sym77751
sym77762_c0_seq1	sym77762
sym77763_c0_seq1	sym77763
sym77774_c0_seq1	sym77774
sym77784_c0_seq1	sym77784
sym77786_c0_seq1	sym77786
sym77808_c0_seq1	sym77808
sym77820_c0_seq1	sym77820
sym77829_c0_seq1	sym77829
sym77834_c0_seq1	sym77834
sym77844_c0_seq1	sym77844
sym77844_c0_seq2	sym77844
sym77860_c0_seq1	sym77860
sym77865_c0_seq1	sym77865
sym77873_c0_seq1	sym77873
sym77875_c0_seq1	sym77875
sym77876_c0_seq1	sym77876
sym77877_c0_seq1	sym77877
sym77884_c0_seq1	sym77884
sym77888_c0_seq1	sym77888
sym77893_c0_seq1	sym77893
sym77897_c0_seq1	sym77897
sym77899_c0_seq1	sym77899
sym77899_c0_seq2	sym77899
sym77910_c0_seq1	sym77910
sym77915_c0_seq1	sym77915
sym77917_c0_seq1	sym77917
sym77918_c0_seq1	sym77918
sym77921_c0_seq1	sym77921
sym77924_c0_seq1	sym77924
sym77924_c0_seq2	sym77924
sym77934_c0_seq1	sym77934
sym77936_c0_seq1	sym77936
sym77943_c0_seq1	sym77943
sym77943_c0_seq2	sym77943
sym77946_c0_seq1	sym77946
sym77951_c0_seq1	sym77951
sym77956_c0_seq1	sym77956
sym77958_c0_seq1	sym77958
sym77977_c0_seq1	sym77977
sym78011_c0_seq1	sym78011
sym78016_c0_seq1	sym78016
sym78020_c0_seq1	sym78020
sym78022_c0_seq1	sym78022
sym78031_c0_seq1	sym78031
sym78032_c0_seq1	sym78032
sym78033_c0_seq1	sym78033
sym78049_c0_seq1	sym78049
sym78049_c0_seq2	sym78049
sym78054_c0_seq1	sym78054
sym78059_c0_seq1	sym78059
sym78062_c0_seq1	sym78062
sym78065_c0_seq1	sym78065
sym78072_c0_seq1	sym78072
sym78075_c0_seq1	sym78075
sym78077_c0_seq1	sym78077
sym78081_c0_seq1	sym78081
sym78099_c0_seq1	sym78099
sym78137_c0_seq1	sym78137
sym78137_c0_seq2	sym78137
sym78139_c0_seq1	sym78139
sym78148_c0_seq1	sym78148
sym78148_c0_seq2	sym78148
sym78156_c0_seq1	sym78156
sym78179_c0_seq1	sym78179
sym78196_c0_seq1	sym78196
sym78198_c0_seq1	sym78198
sym78200_c0_seq1	sym78200
sym78203_c0_seq1	sym78203
sym78204_c0_seq1	sym78204
sym78227_c0_seq1	sym78227
sym78238_c0_seq1	sym78238
sym78239_c0_seq1	sym78239
sym78249_c0_seq1	sym78249
sym78250_c0_seq1	sym78250
sym78253_c0_seq2	sym78253
sym78256_c0_seq1	sym78256
sym78266_c0_seq1	sym78266
sym78267_c0_seq1	sym78267
sym78281_c0_seq1	sym78281
sym78284_c0_seq1	sym78284
sym78285_c0_seq1	sym78285
sym78286_c0_seq1	sym78286
sym78304_c0_seq1	sym78304
sym78307_c0_seq1	sym78307
sym78313_c0_seq1	sym78313
sym78317_c0_seq1	sym78317
sym78334_c0_seq1	sym78334
sym78339_c0_seq1	sym78339
sym78345_c0_seq1	sym78345
sym78356_c0_seq1	sym78356
sym78358_c0_seq1	sym78358
sym78374_c0_seq1	sym78374
sym78375_c0_seq1	sym78375
sym78376_c0_seq2	sym78376
sym78380_c0_seq1	sym78380
sym78386_c0_seq1	sym78386
sym78393_c0_seq1	sym78393
sym78396_c0_seq1	sym78396
sym78428_c0_seq1	sym78428
sym78435_c0_seq1	sym78435
sym78437_c0_seq1	sym78437
sym78451_c0_seq1	sym78451
sym78451_c0_seq2	sym78451
sym78460_c0_seq1	sym78460
sym78476_c0_seq1	sym78476
sym78486_c0_seq1	sym78486
sym78489_c0_seq1	sym78489
sym78491_c0_seq1	sym78491
sym78502_c0_seq1	sym78502
sym78506_c0_seq1	sym78506
sym78511_c0_seq1	sym78511
sym78517_c0_seq1	sym78517
sym78535_c0_seq1	sym78535
sym78537_c0_seq1	sym78537
sym78543_c0_seq1	sym78543
sym78559_c0_seq1	sym78559
sym78562_c0_seq1	sym78562
sym78567_c0_seq1	sym78567
sym78579_c0_seq1	sym78579
sym78585_c0_seq1	sym78585
sym78588_c0_seq1	sym78588
sym78596_c0_seq1	sym78596
sym78597_c0_seq2	sym78597
sym78605_c0_seq1	sym78605
sym78610_c0_seq1	sym78610
sym78628_c0_seq1	sym78628
sym78632_c0_seq1	sym78632
sym78641_c0_seq1	sym78641
sym78661_c0_seq1	sym78661
sym78665_c0_seq1	sym78665
sym78670_c0_seq1	sym78670
sym78684_c0_seq1	sym78684
sym78688_c0_seq1	sym78688
sym78691_c0_seq1	sym78691
sym78699_c0_seq1	sym78699
sym78704_c0_seq1	sym78704
sym78704_c0_seq2	sym78704
sym78720_c0_seq1	sym78720
sym78723_c0_seq1	sym78723
sym78752_c0_seq1	sym78752
sym78757_c0_seq1	sym78757
sym78766_c0_seq1	sym78766
sym78770_c0_seq1	sym78770
sym78774_c0_seq1	sym78774
sym78780_c0_seq1	sym78780
sym78785_c0_seq1	sym78785
sym78786_c0_seq1	sym78786
sym78788_c0_seq1	sym78788
sym78790_c0_seq1	sym78790
sym78793_c0_seq1	sym78793
sym78800_c0_seq1	sym78800
sym78804_c0_seq1	sym78804
sym78804_c0_seq2	sym78804
sym78816_c0_seq1	sym78816
sym78817_c0_seq1	sym78817
sym78817_c0_seq2	sym78817
sym78820_c0_seq1	sym78820
sym78832_c0_seq1	sym78832
sym78833_c0_seq1	sym78833
sym78835_c0_seq1	sym78835
sym78849_c0_seq1	sym78849
sym78853_c0_seq1	sym78853
sym78856_c0_seq1	sym78856
sym78864_c0_seq1	sym78864
sym78870_c0_seq1	sym78870
sym78877_c0_seq1	sym78877
sym78881_c0_seq1	sym78881
sym78882_c0_seq1	sym78882
sym78888_c0_seq1	sym78888
sym78904_c0_seq1	sym78904
sym78909_c0_seq1	sym78909
sym78910_c0_seq1	sym78910
sym78916_c0_seq1	sym78916
sym78927_c0_seq1	sym78927
sym78936_c0_seq1	sym78936
sym78939_c0_seq1	sym78939
sym78943_c0_seq1	sym78943
sym78960_c0_seq1	sym78960
sym78963_c0_seq1	sym78963
sym78963_c0_seq2	sym78963
sym78996_c0_seq1	sym78996
sym78996_c0_seq2	sym78996
sym79014_c0_seq1	sym79014
sym79017_c0_seq1	sym79017
sym79021_c0_seq1	sym79021
sym79033_c0_seq1	sym79033
sym79040_c0_seq1	sym79040
sym79041_c0_seq1	sym79041
sym79042_c0_seq1	sym79042
sym79074_c0_seq1	sym79074
sym79079_c0_seq1	sym79079
sym79081_c0_seq1	sym79081
sym79090_c0_seq1	sym79090
sym79093_c0_seq1	sym79093
sym79095_c0_seq1	sym79095
sym79099_c0_seq1	sym79099
sym79113_c0_seq1	sym79113
sym79122_c0_seq1	sym79122
sym79132_c0_seq1	sym79132
sym79135_c0_seq1	sym79135
sym79136_c0_seq1	sym79136
sym79152_c0_seq1	sym79152
sym79156_c0_seq1	sym79156
sym79162_c0_seq1	sym79162
sym79162_c0_seq2	sym79162
sym79170_c0_seq1	sym79170
sym79171_c0_seq1	sym79171
sym79172_c0_seq1	sym79172
sym79177_c0_seq1	sym79177
sym79177_c0_seq2	sym79177
sym79178_c0_seq1	sym79178
sym79183_c0_seq1	sym79183
sym79188_c0_seq1	sym79188
sym79188_c0_seq2	sym79188
sym79224_c0_seq2	sym79224
sym79226_c0_seq1	sym79226
sym79236_c0_seq1	sym79236
sym79241_c0_seq1	sym79241
sym79242_c0_seq1	sym79242
sym79242_c1_seq1	sym79242
sym79251_c0_seq1	sym79251
sym79269_c0_seq1	sym79269
sym79274_c0_seq1	sym79274
sym79284_c0_seq1	sym79284
sym79295_c0_seq1	sym79295
sym79299_c0_seq1	sym79299
sym79307_c0_seq1	sym79307
sym79320_c0_seq1	sym79320
sym79325_c0_seq1	sym79325
sym79329_c0_seq1	sym79329
sym79332_c0_seq1	sym79332
sym79354_c0_seq1	sym79354
sym79371_c0_seq1	sym79371
sym79380_c0_seq1	sym79380
sym79383_c0_seq1	sym79383
sym79383_c0_seq2	sym79383
sym79385_c0_seq1	sym79385
sym79388_c0_seq1	sym79388
sym79388_c0_seq2	sym79388
sym79389_c0_seq1	sym79389
sym79391_c0_seq1	sym79391
sym79400_c0_seq1	sym79400
sym79407_c0_seq1	sym79407
sym79407_c0_seq2	sym79407
sym79408_c0_seq1	sym79408
sym79412_c0_seq1	sym79412
sym79415_c0_seq1	sym79415
sym79427_c0_seq1	sym79427
sym79433_c0_seq1	sym79433
sym79439_c0_seq1	sym79439
sym79440_c0_seq1	sym79440
sym79444_c0_seq1	sym79444
sym79483_c0_seq1	sym79483
sym79483_c0_seq2	sym79483
sym79492_c0_seq1	sym79492
sym79501_c0_seq1	sym79501
sym79502_c0_seq1	sym79502
sym79505_c0_seq1	sym79505
sym79505_c0_seq2	sym79505
sym79505_c0_seq3	sym79505
sym79515_c0_seq1	sym79515
sym79528_c0_seq1	sym79528
sym79532_c0_seq1	sym79532
sym79536_c0_seq1	sym79536
sym79537_c0_seq1	sym79537
sym79545_c0_seq1	sym79545
sym79551_c0_seq1	sym79551
sym79551_c0_seq2	sym79551
sym79554_c0_seq1	sym79554
sym79565_c0_seq1	sym79565
sym79565_c0_seq2	sym79565
sym79587_c0_seq1	sym79587
sym79601_c0_seq1	sym79601
sym79604_c0_seq1	sym79604
sym79605_c0_seq1	sym79605
sym79620_c0_seq1	sym79620
sym79625_c0_seq1	sym79625
