Mcavernosa30988	K13912
Mcavernosa25561	K04266
Mcavernosa34001	K14788
Mcavernosa29115	K14841
Mcavernosa05343	K03377
Mcavernosa01617	K05127
Mcavernosa14069	K09553
Mcavernosa11718	K15033
Mcavernosa27198	K19362
Mcavernosa14278	K08606
Mcavernosa15413	K05673
Mcavernosa22026	K01283
Mcavernosa28367	K09486
Mcavernosa29212	K22733
Mcavernosa05526	K24469
Mcavernosa14396	K02953
Mcavernosa15838	K03768
Mcavernosa07497	K02971
Mcavernosa12712	K11854
Mcavernosa09132	K23500
Mcavernosa05001	K14072
Mcavernosa02676	K16669
Mcavernosa08050	K02734
Mcavernosa27908	K06777
Mcavernosa07912	K10642
Mcavernosa30567	K23008
Mcavernosa32869	K17080
Mcavernosa08885	K07998
Mcavernosa08451	K15451
Mcavernosa27876	K05676
Mcavernosa03860	K15450
Mcavernosa20923	K10669
Mcavernosa14990	K13704
Mcavernosa21934	K09318
Mcavernosa01621	K18408
Mcavernosa26854	K14405
Mcavernosa29513	K10733
Mcavernosa06682	K01077
Mcavernosa12410	K10408
Mcavernosa08340	K18066
Mcavernosa32127	K23804
Mcavernosa02342	K20365
Mcavernosa03280	K01432
Mcavernosa18560	K02576
Mcavernosa03327	K07998
Mcavernosa03048	K10419
Mcavernosa23625	K07881
Mcavernosa00924	K16681
Mcavernosa10605	K16797
Mcavernosa14270	K04592
Mcavernosa25623	K04919
Mcavernosa03010	K23404
Mcavernosa03435	K00814
Mcavernosa12419	K20405
Mcavernosa21321	K01014
Mcavernosa23335	K08824
Mcavernosa22752	K12968
Mcavernosa22069	K05126
Mcavernosa25368	K14457
Mcavernosa21110	K17592
Mcavernosa19476	K00939
Mcavernosa11213	K11131
Mcavernosa20017	K08029
Mcavernosa07523	K01403
Mcavernosa04061	K23847
Mcavernosa14625	K24764
Mcavernosa24997	K03068
Mcavernosa31856	K23341
Mcavernosa06959	K11673
Mcavernosa23194	K03899
Mcavernosa00442	K03671
Mcavernosa26866	K20777
Mcavernosa05808	K17254
Mcavernosa05729	K12231
Mcavernosa00993	K10457
Mcavernosa09872	K08958
Mcavernosa14733	K04512
Mcavernosa07503	K01784
Mcavernosa23697	K04559
Mcavernosa29653	K13868
Mcavernosa06854	K24054
Mcavernosa26863	K14072
Mcavernosa09120	K18592
Mcavernosa23713	K00744
Mcavernosa20014	K08029
Mcavernosa24483	K02308
Mcavernosa09412	K23961
Mcavernosa10228	K17921
Mcavernosa08974	K24893
Mcavernosa22921	K14638
Mcavernosa05232	K06754
Mcavernosa04247	K01493
Mcavernosa29673	K09627
Mcavernosa01211	K11989
Mcavernosa16019	K13988
Mcavernosa15522	K00637
Mcavernosa09175	K10895
Mcavernosa13972	K12389
Mcavernosa11122	K22823
Mcavernosa06902	K02872
Mcavernosa05092	K17458
Mcavernosa34423	K21596
Mcavernosa26587	K10408
Mcavernosa00245	K06585
Mcavernosa08575	K08467
Mcavernosa04845	K13718
Mcavernosa00079	K06091
Mcavernosa08011	K06130
Mcavernosa00380	K05673
Mcavernosa18711	K18078
Mcavernosa25190	K17496
Mcavernosa23831	K03704
Mcavernosa06341	K11435
Mcavernosa20116	K13280
Mcavernosa16334	K00710
Mcavernosa05632	K23080
Mcavernosa24682	K16473
Mcavernosa04409	K24646
Mcavernosa00270	K05284
Mcavernosa23741	K05129
Mcavernosa00448	K01301
Mcavernosa25275	K12158
Mcavernosa26185	K24429
Mcavernosa31215	K24728
Mcavernosa04683	K17964
Mcavernosa26567	K23882
Mcavernosa04833	K19947
Mcavernosa27441	K23308
Mcavernosa11446	K18060
Mcavernosa21688	K17263
Mcavernosa00279	K08489
Mcavernosa05737	K09031
Mcavernosa13565	K23893
Mcavernosa27972	K05612
Mcavernosa02794	K13184
Mcavernosa01392	K11971
Mcavernosa03692	K21440
Mcavernosa25447	K03364
Mcavernosa05811	K10645
Mcavernosa15552	K00503
Mcavernosa30559	K06645
Mcavernosa16698	K08292
Mcavernosa00342	K01392
Mcavernosa06088	K14613
Mcavernosa14645	K09257
Mcavernosa16833	K04565
Mcavernosa10052	K24469
Mcavernosa08424	K15196
Mcavernosa08960	K24983
Mcavernosa16567	K24431
Mcavernosa05689	K05312
Mcavernosa25326	K19721
Mcavernosa17337	K02183
Mcavernosa08213	K03108
Mcavernosa04512	K24937
Mcavernosa07313	K16662
Mcavernosa33551	K14402
Mcavernosa31206	K04346
Mcavernosa01981	K16197
Mcavernosa20757	K08592
Mcavernosa31425	K07378
Mcavernosa00015	K13175
Mcavernosa22041	K23342
Mcavernosa20486	K08187
Mcavernosa20067	K04285
Mcavernosa26782	K04253
Mcavernosa31626	K19511
Mcavernosa18212	K11456
Mcavernosa20262	K12194
Mcavernosa20766	K10084
Mcavernosa31618	K11308
Mcavernosa09213	K15297
Mcavernosa24547	K09663
Mcavernosa31693	K04571
Mcavernosa29523	K23490
Mcavernosa06689	K18438
Mcavernosa05551	K24469
Mcavernosa12553	K07119
Mcavernosa25183	K03424
Mcavernosa09460	K17307
Mcavernosa14403	K06236
Mcavernosa26472	K04984
Mcavernosa35212	K06252
Mcavernosa04704	K14305
Mcavernosa30923	K19882
Mcavernosa01784	K24793
Mcavernosa12113	K04285
Mcavernosa08060	K06619
Mcavernosa30809	K24510
Mcavernosa34790	K24436
Mcavernosa30616	K10956
Mcavernosa08914	K24506
Mcavernosa25661	K24734
Mcavernosa08623	K24348
Mcavernosa15932	K01517
Mcavernosa28903	K02030
Mcavernosa10565	K19613
Mcavernosa20380	K24431
Mcavernosa04897	K06240
Mcavernosa09090	K13278
Mcavernosa14818	K22125
Mcavernosa31022	K01792
Mcavernosa12266	K14793
Mcavernosa13603	K17341
Mcavernosa08590	K17495
Mcavernosa15099	K01186
Mcavernosa08535	K19360
Mcavernosa28649	K08635
Mcavernosa19173	K05092
Mcavernosa24176	K11584
Mcavernosa17354	K09214
Mcavernosa26169	K12611
Mcavernosa13024	K03833
Mcavernosa25478	K02134
Mcavernosa16952	K02374
Mcavernosa26546	K06054
Mcavernosa02073	K15259
Mcavernosa05864	K02433
Mcavernosa09114	K12459
Mcavernosa16379	K25070
Mcavernosa01819	K23570
Mcavernosa12055	K00254
Mcavernosa23756	K15423
Mcavernosa28316	K06254
Mcavernosa21625	K11805
Mcavernosa19156	K03635
Mcavernosa13876	K00049
Mcavernosa06185	K13202
Mcavernosa34504	K06675
Mcavernosa09095	K17906
Mcavernosa23142	K09640
Mcavernosa22292	K10415
Mcavernosa12158	K24436
Mcavernosa20113	K24660
Mcavernosa30254	K08802
Mcavernosa06435	K24963
Mcavernosa04498	K12301
Mcavernosa07101	K09851
Mcavernosa20640	K10408
Mcavernosa17097	K01883
Mcavernosa12399	K17525
Mcavernosa16927	K09571
Mcavernosa08195	K22565
Mcavernosa25595	K19499
Mcavernosa17321	K04919
Mcavernosa09287	K20362
Mcavernosa22340	K11127
Mcavernosa08237	K06835
Mcavernosa12215	K14428
Mcavernosa17365	K06085
Mcavernosa26746	K08799
Mcavernosa09014	K14946
Mcavernosa28834	K24646
Mcavernosa21561	K12567
Mcavernosa22886	K08637
Mcavernosa27960	K17499
Mcavernosa03755	K21625
Mcavernosa23129	K23939
Mcavernosa30994	K23697
Mcavernosa10196	K04592
Mcavernosa11834	K07232
Mcavernosa32353	K05103
Mcavernosa30040	K22754
Mcavernosa08730	K16197
Mcavernosa17021	K08193
Mcavernosa07247	K01769
Mcavernosa15715	K06240
Mcavernosa03709	K04988
Mcavernosa11735	K24338
Mcavernosa10368	K23868
Mcavernosa01047	K01907
Mcavernosa29921	K24215
Mcavernosa06615	K24464
Mcavernosa21904	K17566
Mcavernosa27708	K02349
Mcavernosa17413	K08621
Mcavernosa30930	K11292
Mcavernosa31151	K10412
Mcavernosa10502	K09550
Mcavernosa28546	K03348
Mcavernosa16709	K19360
Mcavernosa07821	K17341
Mcavernosa10530	K19948
Mcavernosa33506	K18269
Mcavernosa26978	K13126
Mcavernosa34372	K17080
Mcavernosa35006	K02951
Mcavernosa00794	K03016
Mcavernosa28051	K09848
Mcavernosa10535	K05870
Mcavernosa17539	K05125
Mcavernosa27755	K16288
Mcavernosa18489	K13675
Mcavernosa03272	K15142
Mcavernosa27244	K15264
Mcavernosa04800	K20838
Mcavernosa00327	K06225
Mcavernosa18298	K13210
Mcavernosa10519	K04266
Mcavernosa13090	K15710
Mcavernosa04908	K17341
Mcavernosa14698	K05849
Mcavernosa14166	K11869
Mcavernosa32927	K03593
Mcavernosa03858	K02211
Mcavernosa26038	K01869
Mcavernosa09617	K10277
Mcavernosa02965	K19372
Mcavernosa04299	K20072
Mcavernosa09724	K00772
Mcavernosa28768	K02906
Mcavernosa02732	K00733
Mcavernosa12944	K24224
Mcavernosa04867	K22566
Mcavernosa31145	K03955
Mcavernosa31558	K20371
Mcavernosa27284	K04365
Mcavernosa07762	K08202
Mcavernosa22217	K13047
Mcavernosa27540	K15633
Mcavernosa11965	K08654
Mcavernosa07743	K22371
Mcavernosa30980	K19491
Mcavernosa19385	K00569
Mcavernosa05809	K10645
Mcavernosa22241	K00626
Mcavernosa02024	K09273
Mcavernosa30298	K20877
Mcavernosa07714	K09654
Mcavernosa12312	K04284
Mcavernosa04954	K04646
Mcavernosa33240	K10408
Mcavernosa24908	K21814
Mcavernosa08996	K25204
Mcavernosa15240	K22372
Mcavernosa16171	K09267
Mcavernosa00483	K12616
Mcavernosa21340	K00814
Mcavernosa22163	K10089
Mcavernosa23603	K09048
Mcavernosa22272	K17782
Mcavernosa21174	K11699
Mcavernosa21054	K18274
Mcavernosa12003	K05692
Mcavernosa09248	K05110
Mcavernosa11512	K09594
Mcavernosa01603	K05765
Mcavernosa32919	K07893
Mcavernosa21810	K17781
Mcavernosa21617	K01444
Mcavernosa13886	K23960
Mcavernosa10947	K02871
Mcavernosa04793	K15430
Mcavernosa34273	K11840
Mcavernosa24479	K01534
Mcavernosa26058	K14079
Mcavernosa13465	K05940
Mcavernosa24762	K17547
Mcavernosa29669	K00275
Mcavernosa33857	K12385
Mcavernosa05117	K23460
Mcavernosa03655	K10990
Mcavernosa01573	K05674
Mcavernosa09429	K20396
Mcavernosa30846	K21915
Mcavernosa31954	K10408
Mcavernosa12583	K06279
Mcavernosa02175	K25417
Mcavernosa28764	K17545
Mcavernosa08189	K03320
Mcavernosa05839	K01513
Mcavernosa21944	K08202
Mcavernosa24603	K22859
Mcavernosa26051	K01183
Mcavernosa25440	K22380
Mcavernosa05661	K08821
Mcavernosa03024	K22614
Mcavernosa00121	K14837
Mcavernosa17309	K15109
Mcavernosa11034	K13151
Mcavernosa05915	K04398
Mcavernosa30010	K06238
Mcavernosa24501	K06692
Mcavernosa31381	K15157
Mcavernosa33940	K19367
Mcavernosa00562	K11651
Mcavernosa06741	K14567
Mcavernosa20643	K10408
Mcavernosa22139	K05970
Mcavernosa03159	K00544
Mcavernosa01335	K10357
Mcavernosa12038	K21797
Mcavernosa07759	K06688
Mcavernosa16656	K08855
Mcavernosa03940	K11587
Mcavernosa08585	K18739
Mcavernosa31536	K02085
Mcavernosa32498	K11540
Mcavernosa21639	K12021
Mcavernosa00056	K06978
Mcavernosa10739	K15686
Mcavernosa18538	K10272
Mcavernosa21203	K14611
Mcavernosa01185	K11860
Mcavernosa20479	K11810
Mcavernosa12376	K25437
Mcavernosa12809	K10408
Mcavernosa25166	K15376
Mcavernosa21085	K07408
Mcavernosa00187	K09848
Mcavernosa27262	K04424
Mcavernosa20189	K09448
Mcavernosa18915	K00789
Mcavernosa06518	K00666
Mcavernosa33874	K16550
Mcavernosa04483	K16175
Mcavernosa16858	K23567
Mcavernosa12828	K12483
Mcavernosa09733	K03138
Mcavernosa14419	K09583
Mcavernosa24960	K00315
Mcavernosa16635	K15304
Mcavernosa20769	K03593
Mcavernosa07262	K17637
Mcavernosa32156	K11840
Mcavernosa07055	K10696
Mcavernosa08043	K04596
Mcavernosa17003	K02966
Mcavernosa14127	K05857
Mcavernosa18840	K09098
Mcavernosa17225	K24734
Mcavernosa29635	K13343
Mcavernosa08373	K13051
Mcavernosa14300	K01013
Mcavernosa06928	K05022
Mcavernosa12486	K20995
Mcavernosa26981	K05673
Mcavernosa34643	K10144
Mcavernosa03217	K08132
Mcavernosa17463	K22790
Mcavernosa03192	K07521
Mcavernosa22096	K24909
Mcavernosa33742	K06254
Mcavernosa10407	K11864
Mcavernosa17684	K11165
Mcavernosa09665	K02427
Mcavernosa26722	K00274
Mcavernosa11270	K11519
Mcavernosa30030	K01349
Mcavernosa03951	K05181
Mcavernosa09846	K15255
Mcavernosa18938	K04887
Mcavernosa19527	K11840
Mcavernosa03883	K10567
Mcavernosa09368	K03133
Mcavernosa29142	K07277
Mcavernosa28012	K04344
Mcavernosa23966	K00252
Mcavernosa12691	K20071
Mcavernosa32039	K06047
Mcavernosa18768	K05092
Mcavernosa14973	K00476
Mcavernosa04292	K06965
Mcavernosa31634	K08900
Mcavernosa24291	K13868
Mcavernosa08637	K17603
Mcavernosa14037	K23204
Mcavernosa12073	K22614
Mcavernosa34652	K04253
Mcavernosa19576	K25426
Mcavernosa10448	K17592
Mcavernosa33733	K06252
Mcavernosa12930	K20704
Mcavernosa03112	K17797
Mcavernosa01709	K13358
Mcavernosa05786	K15259
Mcavernosa12309	K17341
Mcavernosa12784	K24747
Mcavernosa16203	K05034
Mcavernosa03077	K11430
Mcavernosa08152	K24942
Mcavernosa27505	K04160
Mcavernosa12101	K24936
Mcavernosa21928	K03899
Mcavernosa20310	K07889
Mcavernosa12015	K19179
Mcavernosa31765	K08997
Mcavernosa26321	K03283
Mcavernosa23213	K10904
Mcavernosa13796	K03844
Mcavernosa23225	K13499
Mcavernosa08607	K12035
Mcavernosa12138	K01858
Mcavernosa12676	K10645
Mcavernosa24985	K20051
Mcavernosa13861	K08187
Mcavernosa23402	K01020
Mcavernosa28398	K07188
Mcavernosa02334	K10660
Mcavernosa04305	K09498
Mcavernosa12686	K14415
Mcavernosa17957	K00182
Mcavernosa29349	K08776
Mcavernosa16037	K14354
Mcavernosa05860	K24835
Mcavernosa14963	K07380
Mcavernosa08541	K00852
Mcavernosa31959	K02929
Mcavernosa12796	K11835
Mcavernosa24412	K02132
Mcavernosa11414	K23092
Mcavernosa14109	K11810
Mcavernosa05450	K06640
Mcavernosa29891	K22888
Mcavernosa05676	K00474
Mcavernosa05478	K10176
Mcavernosa03676	K00626
Mcavernosa18887	K08076
Mcavernosa20812	K12872
Mcavernosa32347	K11251
Mcavernosa31640	K10738
Mcavernosa07538	K12837
Mcavernosa24236	K20298
Mcavernosa11618	K14638
Mcavernosa32200	K24822
Mcavernosa18593	K11415
Mcavernosa10458	K01896
Mcavernosa28634	K17452
Mcavernosa31557	K09668
Mcavernosa18364	K16478
Mcavernosa00368	K08342
Mcavernosa16183	K10270
Mcavernosa08337	K12402
Mcavernosa24914	K01365
Mcavernosa04266	K08202
Mcavernosa04481	K15728
Mcavernosa14786	K24835
Mcavernosa06836	K09497
Mcavernosa22121	K15424
Mcavernosa06393	K09232
Mcavernosa10976	K04575
Mcavernosa00722	K05665
Mcavernosa21706	K14845
Mcavernosa20907	K04163
Mcavernosa11403	K05677
Mcavernosa06520	K00666
Mcavernosa34528	K16311
Mcavernosa04288	K01206
Mcavernosa30222	K24445
Mcavernosa20543	K00921
Mcavernosa04580	K11141
Mcavernosa22456	K05126
Mcavernosa13505	K03935
Mcavernosa01164	K24869
Mcavernosa05229	K00012
Mcavernosa26480	K22558
Mcavernosa05385	K24338
Mcavernosa00979	K09360
Mcavernosa22323	K24739
Mcavernosa27495	K16467
Mcavernosa04154	K01132
Mcavernosa31684	K20360
Mcavernosa16514	K07521
Mcavernosa20125	K13708
Mcavernosa31419	K07378
Mcavernosa07830	K08375
Mcavernosa10931	K24835
Mcavernosa00982	K09309
Mcavernosa29688	K04427
Mcavernosa10592	K16601
Mcavernosa31132	K10355
Mcavernosa06645	K20045
Mcavernosa28407	K08630
Mcavernosa03375	K08076
Mcavernosa34814	K03175
Mcavernosa20452	K04600
Mcavernosa02940	K07370
Mcavernosa31001	K07819
Mcavernosa19449	K12382
Mcavernosa16982	K24822
Mcavernosa24421	K03798
Mcavernosa18616	K07611
Mcavernosa12224	K00546
Mcavernosa13520	K16353
Mcavernosa06713	K14071
Mcavernosa13425	K10455
Mcavernosa06483	K07819
Mcavernosa03642	K03251
Mcavernosa05794	K01372
Mcavernosa29544	K01056
Mcavernosa02577	K19202
Mcavernosa29420	K05673
Mcavernosa07249	K12323
Mcavernosa08792	K08961
Mcavernosa04362	K06238
Mcavernosa11191	K16659
Mcavernosa13858	K02176
Mcavernosa18545	K07966
Mcavernosa22796	K17399
Mcavernosa34483	K17286
Mcavernosa14494	K10457
Mcavernosa29329	K12348
Mcavernosa20962	K21773
Mcavernosa01064	K24427
Mcavernosa14414	K09091
Mcavernosa09695	K23400
Mcavernosa28156	K21776
Mcavernosa24149	K17922
Mcavernosa28113	K01908
Mcavernosa17998	K09494
Mcavernosa20332	K07763
Mcavernosa16574	K24793
Mcavernosa13802	K13617
Mcavernosa03718	K04986
Mcavernosa21722	K17495
Mcavernosa28763	K17560
Mcavernosa00478	K12864
Mcavernosa06584	K16465
Mcavernosa00032	K24014
Mcavernosa20678	K21956
Mcavernosa11839	K18753
Mcavernosa15732	K06269
Mcavernosa10251	K01488
Mcavernosa19390	K15619
Mcavernosa25652	K00773
Mcavernosa04719	K00522
Mcavernosa30210	K15264
Mcavernosa11209	K24512
Mcavernosa08900	K04600
Mcavernosa05431	K25065
Mcavernosa18961	K24419
Mcavernosa17346	K21554
Mcavernosa25744	K24835
Mcavernosa04092	K04612
Mcavernosa27055	K24524
Mcavernosa11011	K12804
Mcavernosa20513	K16481
Mcavernosa29076	K18245
Mcavernosa18814	K10770
Mcavernosa09710	K05048
Mcavernosa25726	K16547
Mcavernosa00547	K04354
Mcavernosa00597	K11989
Mcavernosa01293	K05667
Mcavernosa23223	K24166
Mcavernosa18693	K13187
Mcavernosa34760	K17089
Mcavernosa24332	K12132
Mcavernosa09479	K20780
Mcavernosa18323	K05888
Mcavernosa17717	K08592
Mcavernosa21297	K10640
Mcavernosa04119	K04144
Mcavernosa08365	K05810
Mcavernosa35058	K10888
Mcavernosa30548	K20198
Mcavernosa00820	K06618
Mcavernosa21316	K16848
Mcavernosa06484	K02895
Mcavernosa11164	K23222
Mcavernosa15961	K13863
Mcavernosa01905	K15188
Mcavernosa33302	K04393
Mcavernosa23953	K00699
Mcavernosa15652	K11974
Mcavernosa11009	K12804
Mcavernosa27476	K03255
Mcavernosa17183	K04682
Mcavernosa30209	K05662
Mcavernosa05832	K06238
Mcavernosa35061	K06777
Mcavernosa15196	K00831
Mcavernosa19846	K09140
Mcavernosa08234	K08568
Mcavernosa30796	K16491
Mcavernosa03741	K17610
Mcavernosa06885	K10358
Mcavernosa01250	K04499
Mcavernosa09258	K25004
Mcavernosa17049	K09214
Mcavernosa02538	K09577
Mcavernosa02868	K12419
Mcavernosa34145	K07410
Mcavernosa30484	K16857
Mcavernosa05622	K17579
Mcavernosa13631	K11373
Mcavernosa15604	K01639
Mcavernosa08611	K18663
Mcavernosa31059	K02736
Mcavernosa27724	K16467
Mcavernosa15993	K06462
Mcavernosa21341	K00814
Mcavernosa31595	K00940
Mcavernosa07483	K14318
Mcavernosa23995	K09632
Mcavernosa05082	K17894
Mcavernosa20460	K09228
Mcavernosa07446	K13703
Mcavernosa22071	K05126
Mcavernosa33920	K17547
Mcavernosa23780	K06699
Mcavernosa26927	K08375
Mcavernosa25293	K16587
Mcavernosa21326	K03175
Mcavernosa11982	K17726
Mcavernosa16249	K15333
Mcavernosa09969	K08076
Mcavernosa15831	K03768
Mcavernosa28723	K23664
Mcavernosa09061	K06961
Mcavernosa05248	K23282
Mcavernosa03713	K04986
Mcavernosa32045	K06766
Mcavernosa06784	K16466
Mcavernosa13105	K19754
Mcavernosa02664	K08596
Mcavernosa10072	K01196
Mcavernosa07638	K07562
Mcavernosa23034	K17820
Mcavernosa24460	K15537
Mcavernosa18983	K12831
Mcavernosa34180	K05723
Mcavernosa26304	K17253
Mcavernosa22434	K01253
Mcavernosa17016	K13337
Mcavernosa21923	K09309
Mcavernosa18304	K11248
Mcavernosa05568	K19685
Mcavernosa19015	K13024
Mcavernosa12446	K19467
Mcavernosa16346	K00500
Mcavernosa03352	K16458
Mcavernosa31005	K04829
Mcavernosa12906	K14079
Mcavernosa26657	K10349
Mcavernosa05719	K00207
Mcavernosa32027	K24051
Mcavernosa25686	K02599
Mcavernosa13196	K16913
Mcavernosa16682	K20644
Mcavernosa28717	K23664
Mcavernosa00175	K04428
Mcavernosa18372	K14434
Mcavernosa12632	K02331
Mcavernosa28487	K23909
Mcavernosa25591	K19499
Mcavernosa06219	K03993
Mcavernosa31964	K04434
Mcavernosa20185	K05502
Mcavernosa19068	K07370
Mcavernosa07234	K18435
Mcavernosa09637	K02433
Mcavernosa03630	K15015
Mcavernosa33044	K08893
Mcavernosa11272	K14620
Mcavernosa27685	K06629
Mcavernosa27967	K03247
Mcavernosa09713	K05048
Mcavernosa18368	K11826
Mcavernosa27448	K24419
Mcavernosa26846	K21918
Mcavernosa09747	K09452
Mcavernosa05732	K12231
Mcavernosa17417	K23949
Mcavernosa14617	K22869
Mcavernosa34316	K11163
Mcavernosa09849	K16541
Mcavernosa02169	K13047
Mcavernosa05695	K22641
Mcavernosa23260	K00344
Mcavernosa16522	K18405
Mcavernosa22604	K04150
Mcavernosa28236	K02599
Mcavernosa35045	K10408
Mcavernosa24124	K04968
Mcavernosa02160	K13133
Mcavernosa22594	K14437
Mcavernosa14709	K04854
Mcavernosa04310	K04930
Mcavernosa32325	K00622
Mcavernosa15398	K10583
Mcavernosa16150	K01937
Mcavernosa24467	K12161
Mcavernosa13965	K02377
Mcavernosa14668	K17341
Mcavernosa23899	K23735
Mcavernosa02191	K02889
Mcavernosa33297	K20476
Mcavernosa14351	K05463
Mcavernosa14437	K11275
Mcavernosa03069	K15048
Mcavernosa24158	K15078
Mcavernosa24268	K10901
Mcavernosa11322	K15075
Mcavernosa34718	K08997
Mcavernosa03611	K04550
Mcavernosa06023	K15015
Mcavernosa03136	K06841
Mcavernosa25492	K24775
Mcavernosa13832	K20724
Mcavernosa11639	K24060
Mcavernosa01297	K05665
Mcavernosa02621	K19360
Mcavernosa00283	K11996
Mcavernosa27809	K19917
Mcavernosa13793	K15502
Mcavernosa10611	K16601
Mcavernosa09240	K17360
Mcavernosa00092	K02183
Mcavernosa26493	K17307
Mcavernosa03031	K05643
Mcavernosa24972	K19176
Mcavernosa30081	K05703
Mcavernosa06286	K01482
Mcavernosa35035	K08653
Mcavernosa17505	K11674
Mcavernosa23948	K02998
Mcavernosa05142	K12035
Mcavernosa14490	K09349
Mcavernosa08230	K18668
Mcavernosa16166	K10380
Mcavernosa34465	K17095
Mcavernosa25941	K20473
Mcavernosa20690	K22733
Mcavernosa06738	K13523
Mcavernosa04859	K06842
Mcavernosa13282	K08790
Mcavernosa27790	K24524
Mcavernosa16972	K02168
Mcavernosa05877	K12478
Mcavernosa05701	K10767
Mcavernosa15139	K14411
Mcavernosa10426	K04874
Mcavernosa11159	K00111
Mcavernosa12173	K08883
Mcavernosa07169	K09608
Mcavernosa00190	K11667
Mcavernosa10295	K19906
Mcavernosa09430	K16815
Mcavernosa20151	K05357
Mcavernosa14684	K01183
Mcavernosa32702	K15690
Mcavernosa14476	K09317
Mcavernosa01095	K03505
Mcavernosa01808	K16506
Mcavernosa23755	K07192
Mcavernosa25479	K01599
Mcavernosa09867	K12035
Mcavernosa01922	K23781
Mcavernosa04473	K15734
Mcavernosa16691	K00551
Mcavernosa24442	K10380
Mcavernosa03300	K06269
Mcavernosa04491	K04440
Mcavernosa15541	K04163
Mcavernosa10083	K07189
Mcavernosa19152	K05606
Mcavernosa17191	K07841
Mcavernosa17910	K05695
Mcavernosa13537	K11348
Mcavernosa17550	K06620
Mcavernosa32130	K08283
Mcavernosa07739	K00461
Mcavernosa26945	K21440
Mcavernosa16661	K04550
Mcavernosa04445	K20013
Mcavernosa05283	K25165
Mcavernosa05302	K14964
Mcavernosa27021	K04135
Mcavernosa28064	K12900
Mcavernosa04347	K06237
Mcavernosa29161	K05125
Mcavernosa24525	K00471
Mcavernosa15523	K23330
Mcavernosa06857	K09267
Mcavernosa29280	K05094
Mcavernosa07140	K04148
Mcavernosa25174	K21734
Mcavernosa10468	K18180
Mcavernosa27219	K12230
Mcavernosa13649	K17458
Mcavernosa30743	K13045
Mcavernosa30100	K20367
Mcavernosa22344	K19511
Mcavernosa28424	K24936
Mcavernosa16639	K03848
Mcavernosa09930	K00181
Mcavernosa09914	K04968
Mcavernosa26202	K23337
Mcavernosa02850	K08463
Mcavernosa21353	K20879
Mcavernosa05139	K13067
Mcavernosa00097	K00962
Mcavernosa03447	K15361
Mcavernosa29397	K01135
Mcavernosa06848	K12385
Mcavernosa17911	K04829
Mcavernosa32801	K09851
Mcavernosa13695	K00933
Mcavernosa15356	K22555
Mcavernosa22673	K15293
Mcavernosa06650	K12132
Mcavernosa31349	K06989
Mcavernosa25930	K06058
Mcavernosa14576	K11875
Mcavernosa15221	K16728
Mcavernosa35074	K17916
Mcavernosa32356	K05110
Mcavernosa24007	K06841
Mcavernosa11386	K12874
Mcavernosa11767	K23407
Mcavernosa26399	K11407
Mcavernosa10903	K17307
Mcavernosa21028	K12816
Mcavernosa23815	K17964
Mcavernosa05417	K05044
Mcavernosa10938	K05750
Mcavernosa14044	K09499
Mcavernosa00577	K14714
Mcavernosa00402	K00888
Mcavernosa25289	K20372
Mcavernosa17931	K11757
Mcavernosa20090	K04725
Mcavernosa07015	K02156
Mcavernosa03450	K15377
Mcavernosa16827	K20476
Mcavernosa25186	K15109
Mcavernosa04877	K04349
Mcavernosa14657	K13123
Mcavernosa31707	K20182
Mcavernosa03811	K15687
Mcavernosa21170	K24523
Mcavernosa23886	K11487
Mcavernosa26209	K01640
Mcavernosa21783	K13347
Mcavernosa26555	K06054
Mcavernosa22283	K10271
Mcavernosa20342	K15255
Mcavernosa18569	K15143
Mcavernosa07801	K07204
Mcavernosa21076	K11789
Mcavernosa31520	K23820
Mcavernosa30664	K05695
Mcavernosa22336	K25168
Mcavernosa12210	K20031
Mcavernosa24574	K01052
Mcavernosa02295	K20838
Mcavernosa08047	K23581
Mcavernosa32407	K20173
Mcavernosa29482	K16629
Mcavernosa06041	K12818
Mcavernosa22983	K12132
Mcavernosa14805	K10158
Mcavernosa00449	K06674
Mcavernosa19301	K03175
Mcavernosa32138	K12323
Mcavernosa13970	K05236
Mcavernosa12472	K06685
Mcavernosa07936	K06240
Mcavernosa33320	K10380
Mcavernosa26804	K05096
Mcavernosa03422	K13140
Mcavernosa09278	K19937
Mcavernosa06122	K05613
Mcavernosa26726	K14621
Mcavernosa03730	K12176
Mcavernosa25334	K12260
Mcavernosa16338	K05208
Mcavernosa09419	K09995
Mcavernosa10819	K16866
Mcavernosa05581	K15148
Mcavernosa17497	K09093
Mcavernosa08683	K13577
Mcavernosa22181	K11182
Mcavernosa31458	K04710
Mcavernosa12043	K07375
Mcavernosa06667	K13154
Mcavernosa20816	K20858
Mcavernosa32051	K10577
Mcavernosa17328	K01301
Mcavernosa08243	K17547
Mcavernosa31531	K23883
Mcavernosa22908	K07427
Mcavernosa29261	K17341
Mcavernosa30059	K06111
Mcavernosa04634	K01530
Mcavernosa20314	K01810
Mcavernosa23990	K05673
Mcavernosa16372	K01415
Mcavernosa23852	K13354
Mcavernosa12959	K03869
Mcavernosa17536	K05125
Mcavernosa02048	K08145
Mcavernosa05515	K24469
Mcavernosa29418	K10408
Mcavernosa01596	K04079
Mcavernosa24417	K03175
Mcavernosa29536	K15261
Mcavernosa30248	K00485
Mcavernosa11840	K10869
