Cladocopium293578	K22370
Mcavernosa14193	K23288
Cladocopium99857	K12132
Mcavernosa02777	K08621
Cladocopium275326	K14944
Cladocopium239913	K20133
Mcavernosa32484	K19332
Cladocopium297215	K10424
Cladocopium266393	K01188
Cladocopium264199	K00325
Cladocopium269810	K00472
Cladocopium77700	K05665
Cladocopium114454	K01176
Cladocopium276636	K06994
Mcavernosa28020	K11660
Mcavernosa32305	K07877
Mcavernosa20075	K03028
Cladocopium291047	K06158
Cladocopium120579	K21435
Mcavernosa11221	K05195
Cladocopium299054	K12132
Cladocopium182788	K04955
Cladocopium109772	K14859
Cladocopium92003	K11703
Mcavernosa24910	K00699
Mcavernosa10625	K00611
Mcavernosa07583	K13150
Cladocopium82981	K00849
Mcavernosa01198	K23342
Mcavernosa30002	K11447
Mcavernosa20230	K07766
Mcavernosa19357	K11089
Cladocopium172723	K03147
Cladocopium124429	K14620
Mcavernosa10839	K12035
Mcavernosa26856	K09608
Cladocopium118979	K08582
Cladocopium103396	K01230
Cladocopium104692	K10747
Mcavernosa04376	K08132
Cladocopium159420	K15711
Mcavernosa26180	K17346
Cladocopium174956	K03877
Mcavernosa20650	K00461
Cladocopium287831	K07253
Mcavernosa09542	K01443
Cladocopium116343	K04345
Cladocopium63595	K13356
Mcavernosa14150	K00079
Mcavernosa17282	K10408
Cladocopium156780	K10614
Cladocopium265528	K04523
Mcavernosa30380	K06236
Cladocopium196508	K12823
Cladocopium39966	K14802
Cladocopium118529	K09592
Mcavernosa23452	K12805
Mcavernosa13438	K03877
Cladocopium40420	K18584
Cladocopium269413	K06269
Cladocopium85298	K07376
Cladocopium43009	K15284
Cladocopium230295	K07783
Cladocopium159973	K11718
Cladocopium62564	K06994
Cladocopium58829	K10408
Cladocopium186011	K10380
Cladocopium171328	K05643
Cladocopium298746	K12823
Mcavernosa11290	K00565
Cladocopium387312	K07513
Cladocopium285780	K06689
Mcavernosa33181	K06674
Mcavernosa27159	K10455
Mcavernosa01271	K17278
Mcavernosa11168	K23014
Cladocopium331694	K15085
Cladocopium302860	K14297
Mcavernosa25204	K09624
Cladocopium315893	K10408
Mcavernosa02873	K17675
Mcavernosa13474	K15502
Cladocopium179117	K13210
Mcavernosa30893	K05312
Cladocopium115993	K15013
Mcavernosa22015	K07436
Mcavernosa03122	K13937
Cladocopium224095	K05656
Cladocopium212782	K18561
Mcavernosa19480	K04593
Cladocopium48414	K13667
Cladocopium382261	K22721
Mcavernosa03733	K10649
Cladocopium265334	K03313
Cladocopium58035	K04421
Mcavernosa25168	K00471
Cladocopium181482	K14018
Mcavernosa32946	K10408
Cladocopium297454	K14950
Cladocopium116999	K15110
Cladocopium294552	K08176
Cladocopium311779	K05304
Cladocopium319805	K16726
Mcavernosa14447	K13750
Cladocopium314820	K03424
Cladocopium40786	K05931
Mcavernosa26721	K00274
Cladocopium117140	K10839
Mcavernosa12622	K08624
Mcavernosa22770	K00746
Cladocopium41639	K08062
Mcavernosa12508	K04240
Cladocopium217747	K10398
Cladocopium353631	K10843
Mcavernosa30045	K03691
Cladocopium54004	K15112
Mcavernosa04010	K08375
Mcavernosa15506	K17889
Cladocopium94160	K12604
Cladocopium191425	K12823
Cladocopium200134	K21440
Mcavernosa19468	K10265
Cladocopium117677	K17502
Mcavernosa25609	K09328
Mcavernosa18562	K04141
Mcavernosa04559	K02602
Mcavernosa34455	K00030
Cladocopium234074	K12823
Mcavernosa28544	K04988
Mcavernosa19231	K08657
Cladocopium19305	K03696
Cladocopium48774	K21888
Cladocopium270066	K15303
Cladocopium115509	K17286
Cladocopium115219	K16742
Cladocopium293742	K08498
Cladocopium227736	K01530
Cladocopium322882	K07755
Cladocopium263380	K03737
Cladocopium309098	K01875
Cladocopium167175	K10799
Mcavernosa02895	K04809
Mcavernosa30739	K04168
Cladocopium56514	K14442
Cladocopium179442	K03438
Mcavernosa20949	K07934
Mcavernosa28823	K04990
Cladocopium314111	K05012
Cladocopium272671	K12410
Cladocopium41341	K01738
Mcavernosa11678	K10656
Mcavernosa04344	K17341
Cladocopium222147	K00700
Mcavernosa13530	K13119
Cladocopium300390	K10397
Cladocopium37832	K00231
Mcavernosa33098	K01868
Mcavernosa22688	K08601
Cladocopium307771	K10591
Cladocopium299106	K01669
Mcavernosa28800	K00344
Mcavernosa28087	K04919
Cladocopium282099	K06972
Cladocopium297822	K05592
Mcavernosa33696	K18061
Mcavernosa32329	K00622
Mcavernosa05968	K20315
Mcavernosa27278	K13511
Cladocopium364930	K00934
Cladocopium288052	K14457
Cladocopium2358	K01204
Mcavernosa09280	K19998
Cladocopium121691	K10839
Mcavernosa25036	K12584
Mcavernosa05122	K14297
Cladocopium282882	K13025
Cladocopium302942	K01507
Mcavernosa00313	K10380
Mcavernosa14112	K17455
Mcavernosa24353	K14613
Mcavernosa28041	K04717
Mcavernosa23234	K04662
Cladocopium265193	K02183
Cladocopium326029	K14558
Cladocopium311221	K02154
Mcavernosa02400	K04531
Mcavernosa31314	K10747
Mcavernosa15451	K06694
Cladocopium514862	K00789
Cladocopium225466	K08832
Cladocopium85273	K04037
Cladocopium222728	K02183
Cladocopium267223	K14652
Cladocopium191547	K15377
Cladocopium117400	K03676
Mcavernosa21020	K10599
Mcavernosa35152	K01049
Mcavernosa02677	K17336
Mcavernosa19974	K03509
Cladocopium249818	K00600
Mcavernosa11558	K01135
Mcavernosa03890	K14620
Mcavernosa33388	K13237
Cladocopium311207	K10454
Mcavernosa09545	K04905
Cladocopium87618	K00873
Mcavernosa25929	K06058
Mcavernosa17196	K11155
Mcavernosa11734	K04987
Mcavernosa03716	K19921
Cladocopium196276	K12741
Cladocopium313182	K01076
Mcavernosa15733	K10301
Cladocopium60432	K17545
Cladocopium115257	K04854
Cladocopium269185	K08794
Cladocopium264840	K03250
Cladocopium235170	K10260
Cladocopium70296	K21866
Mcavernosa13499	K10380
Mcavernosa00452	K04251
Cladocopium219981	K10799
Cladocopium264428	K19685
Cladocopium114110	K15382
Cladocopium99718	K00710
Cladocopium40555	K14537
Cladocopium181705	K05592
Cladocopium285096	K00088
Mcavernosa04730	K08133
Cladocopium119058	K13412
Mcavernosa03616	K02883
Cladocopium117374	K15516
Cladocopium252527	K08333
Cladocopium111265	K10380
Cladocopium84791	K00858
Cladocopium207305	K01201
Cladocopium301041	K10380
Cladocopium315930	K22390
Cladocopium132266	K11392
Mcavernosa00231	K12852
Mcavernosa18406	K10408
Mcavernosa08877	K01346
Cladocopium124082	K13761
Cladocopium115283	K01539
Mcavernosa11121	K17543
Mcavernosa26614	K01132
Cladocopium305882	K10392
Mcavernosa34638	K16777
Mcavernosa04692	K00810
Cladocopium86012	K13108
Mcavernosa00774	K20358
Cladocopium274761	K01092
Mcavernosa15521	K12200
Cladocopium83908	K03695
Mcavernosa29283	K05121
Cladocopium29558	K00121
Mcavernosa09939	K05863
Cladocopium34910	K10268
Cladocopium41337	K01940
Mcavernosa29938	K03686
Mcavernosa09731	K10417
Mcavernosa10580	K10408
Cladocopium68134	K13412
Cladocopium288723	K11481
Mcavernosa32968	K04718
Mcavernosa04873	K19904
Mcavernosa04457	K00901
Mcavernosa11447	K07375
Mcavernosa15135	K04615
Cladocopium49927	K01673
Mcavernosa00581	K14816
Mcavernosa04385	K13499
Mcavernosa17509	K06114
Mcavernosa15320	K07874
Mcavernosa34589	K10736
Mcavernosa23027	K20899
Cladocopium46788	K14776
Cladocopium271388	K17562
Cladocopium118160	K11703
Mcavernosa30473	K11517
Cladocopium162098	K04892
Mcavernosa30744	K06662
Cladocopium166783	K04688
Cladocopium122465	K15516
Mcavernosa14654	K13051
Cladocopium365012	K12391
Cladocopium38959	K12304
Cladocopium229409	K10798
Mcavernosa12668	K00472
Cladocopium156379	K12492
Mcavernosa30853	K08239
Mcavernosa24214	K02689
Mcavernosa28240	K16477
Mcavernosa08262	K07874
Cladocopium293396	K03083
Cladocopium360081	K02349
Mcavernosa27888	K17918
Cladocopium229909	K01273
Cladocopium114981	K08794
Cladocopium171829	K02870
Cladocopium327141	K01190
Mcavernosa10358	K01469
Cladocopium223189	K03070
Cladocopium62555	K13117
Cladocopium179522	K18442
Mcavernosa14584	K17690
Mcavernosa01677	K02514
Cladocopium114155	K10398
Cladocopium14899	K02183
Cladocopium183590	K19937
Cladocopium308455	K21993
Cladocopium264506	K03242
Cladocopium289375	K00472
Mcavernosa18628	K09381
Cladocopium317137	K22698
Cladocopium282301	K17080
Cladocopium274251	K00569
Cladocopium103764	K01613
Mcavernosa32033	K08869
Cladocopium294659	K10949
Cladocopium57705	K07466
Mcavernosa20625	K08017
Cladocopium314907	K20165
Mcavernosa02501	K11718
Cladocopium328472	K03231
Cladocopium281228	K15259
Cladocopium21761	K06147
Cladocopium46439	K13293
Mcavernosa16056	K01769
Cladocopium35774	K06228
Mcavernosa06816	K00106
Mcavernosa20745	K00507
Cladocopium287088	K01373
Cladocopium332108	K06969
Cladocopium179101	K00826
Cladocopium172260	K03292
Cladocopium297635	K00666
Mcavernosa22309	K07442
Cladocopium276144	K14648
Cladocopium117426	K10423
Cladocopium85046	K08582
Cladocopium272263	K15306
Cladocopium5751	K14209
Mcavernosa05427	K04615
Cladocopium153803	K04840
Cladocopium324559	K10393
Mcavernosa13738	K00011
Cladocopium114949	K06269
Cladocopium278745	K00133
Cladocopium313136	K11838
Mcavernosa03573	K19415
Cladocopium275368	K01738
Cladocopium255984	K00939
Mcavernosa16967	K03781
Cladocopium60572	K20028
Cladocopium314590	K14457
Cladocopium65911	K10255
Mcavernosa19403	K00274
Mcavernosa32767	K08618
Mcavernosa33990	K03434
Mcavernosa15887	K15305
Mcavernosa29762	K19901
Cladocopium171282	K15535
Cladocopium274022	K10426
Cladocopium209922	K10866
Cladocopium62151	K20069
Cladocopium148101	K03142
Mcavernosa05612	K09201
Cladocopium83437	K20028
Mcavernosa24871	K05463
Cladocopium365955	K08654
Cladocopium298181	K10398
Cladocopium345134	K18663
Cladocopium281964	K00044
Cladocopium267736	K18655
Mcavernosa04234	K08399
Cladocopium103260	K09522
Cladocopium287537	K00814
Cladocopium273370	K13748
Cladocopium73719	K13126
Cladocopium48391	K04908
Cladocopium286679	K11755
Cladocopium163427	K16465
Cladocopium266300	K10380
Cladocopium190951	K05312
Mcavernosa15635	K16677
Cladocopium310832	K08869
Cladocopium232580	K02964
Cladocopium331274	K03165
Cladocopium163738	K05766
Mcavernosa27373	K15255
Cladocopium61187	K14442
Cladocopium245180	K04567
Mcavernosa06807	K14788
Cladocopium497162	K16742
Cladocopium115195	K04739
Cladocopium275875	K14950
Mcavernosa23074	K15025
Mcavernosa32697	K06699
Cladocopium324545	K14427
Mcavernosa25146	K13127
Mcavernosa32381	K02513
Mcavernosa27420	K08736
Cladocopium167468	K10408
Mcavernosa09117	K18592
Mcavernosa17402	K20068
Mcavernosa22428	K09485
Mcavernosa18267	K11672
Cladocopium99758	K07735
Cladocopium47136	K01647
Mcavernosa06053	K00602
Cladocopium166933	K01769
Cladocopium218219	K16608
Cladocopium62166	K00939
Mcavernosa26821	K18159
Cladocopium323087	K02218
Cladocopium229476	K22684
Cladocopium209457	K01624
Cladocopium229786	K02330
Mcavernosa16868	K14388
Mcavernosa28377	K09549
Cladocopium168021	K13523
Cladocopium442668	K03235
Mcavernosa01893	K04988
Cladocopium89908	K09640
Cladocopium362164	K06180
Cladocopium182453	K10027
Cladocopium186377	K01069
Cladocopium264493	K03249
Cladocopium280003	K01090
Cladocopium332810	K00710
Cladocopium166861	K12272
Cladocopium356643	K06413
Cladocopium280703	K06637
Cladocopium5451	K07407
Cladocopium7843	K09480
Cladocopium278662	K04078
Cladocopium293260	K19672
Cladocopium174860	K08486
Cladocopium112230	K14326
Mcavernosa03674	K00027
Mcavernosa34001	K14788
Cladocopium73700	K09553
Cladocopium101193	K05349
Mcavernosa01617	K05127
Mcavernosa14069	K09553
Mcavernosa27198	K19362
Cladocopium335590	K03355
Mcavernosa28367	K09486
Mcavernosa05526	K17495
Mcavernosa15838	K03768
Cladocopium186882	K08994
Mcavernosa12712	K11854
Mcavernosa02676	K16669
Mcavernosa08050	K02734
Cladocopium69633	K22934
Mcavernosa30567	K23008
Cladocopium312658	K16675
Mcavernosa08451	K15451
Mcavernosa27876	K05676
Cladocopium183381	K13412
Cladocopium117877	K03929
Cladocopium281475	K03686
Mcavernosa06682	K01077
Cladocopium171673	K14209
Cladocopium311944	K06178
Mcavernosa14270	K04592
Cladocopium272253	K01539
Cladocopium276849	K03438
Cladocopium267465	K04905
Cladocopium270920	K01770
Cladocopium228819	K04739
Mcavernosa22069	K05126
Mcavernosa21110	K17592
Mcavernosa07523	K01403
Mcavernosa06959	K11673
Cladocopium43015	K22866
Cladocopium158974	K10860
Cladocopium49336	K01255
Cladocopium42351	K01673
Cladocopium209323	K01625
Cladocopium43480	K03307
Mcavernosa10228	K17921
Mcavernosa01211	K11989
Mcavernosa15522	K00637
Cladocopium116296	K09497
Mcavernosa06902	K02872
Cladocopium58064	K12231
Mcavernosa34423	K21596
Cladocopium279724	K01537
Mcavernosa26587	K10408
Mcavernosa08575	K08467
Mcavernosa04845	K13718
Mcavernosa00079	K06091
Mcavernosa08011	K06130
Cladocopium346372	K11136
Cladocopium121333	K03798
Cladocopium242055	K03798
Mcavernosa16334	K00710
Cladocopium189842	K17914
Mcavernosa00270	K05284
Mcavernosa23741	K05129
Cladocopium204705	K21064
Cladocopium264079	K01689
Cladocopium286008	K07889
Cladocopium196302	K11253
Mcavernosa02794	K13184
Mcavernosa01392	K11971
Mcavernosa25447	K03364
Cladocopium38853	K04730
Cladocopium271332	K01208
Cladocopium103830	K00362
Mcavernosa00342	K01392
Cladocopium325143	K16599
Mcavernosa10052	K17495
Cladocopium114724	K04460
Mcavernosa05689	K05312
Cladocopium159205	K03424
Cladocopium297077	K01223
Cladocopium164646	K08574
Mcavernosa33551	K14402
Cladocopium76551	K14855
Mcavernosa20757	K08592
Mcavernosa22041	K23342
Cladocopium224322	K01913
Mcavernosa20067	K04285
Cladocopium185528	K11162
Mcavernosa26782	K04253
Cladocopium119503	K09490
Cladocopium38882	K04371
Cladocopium63748	K19307
Mcavernosa12113	K04285
Cladocopium114878	K16900
Cladocopium162392	K21396
Cladocopium288741	K00362
Cladocopium200356	K12373
Cladocopium273829	K05543
Cladocopium280752	K07427
Cladocopium210568	K03164
Mcavernosa14818	K22125
Cladocopium117727	K01625
Cladocopium42723	K11170
Cladocopium265584	K00604
Mcavernosa08590	K17495
Cladocopium295809	K05849
Mcavernosa17354	K09214
Mcavernosa26169	K12611
Cladocopium111477	K21918
Cladocopium216833	K08881
Cladocopium172003	K00604
Cladocopium45543	K22282
Mcavernosa23756	K15423
Cladocopium309621	K03098
Cladocopium313621	K08244
Cladocopium199473	K12796
Cladocopium264867	K09874
Cladocopium168163	K04892
Cladocopium57457	K08857
Cladocopium201485	K12385
Cladocopium66757	K00645
Cladocopium119312	K04043
Cladocopium287670	K15425
Mcavernosa12399	K17525
Cladocopium279514	K12872
Cladocopium187397	K03929
Mcavernosa09014	K14946
Cladocopium51544	K11729
Cladocopium119068	K01069
Mcavernosa21561	K12567
Cladocopium43772	K01377
Cladocopium304247	K07573
Mcavernosa10196	K04592
Mcavernosa11834	K07232
Cladocopium287710	K08857
Cladocopium158342	K06158
Cladocopium63393	K03348
Mcavernosa07247	K01769
Cladocopium56154	K17616
Cladocopium164186	K12823
Mcavernosa10530	K19948
Cladocopium171258	K05668
Cladocopium183690	K15083
Cladocopium171035	K01424
Cladocopium277242	K00434
Mcavernosa03272	K15142
Mcavernosa04800	K20838
Cladocopium59205	K14165
Mcavernosa10519	K04266
Cladocopium408801	K17732
Mcavernosa03858	K02211
Mcavernosa09617	K10277
Cladocopium57869	K16470
Mcavernosa07762	K08202
Cladocopium178331	K03639
Cladocopium114381	K07376
Mcavernosa22217	K13047
Cladocopium321455	K10408
Cladocopium291093	K18798
Cladocopium179736	K02708
Cladocopium117367	K16264
Mcavernosa02024	K09273
Mcavernosa07714	K09654
Cladocopium227259	K00873
Mcavernosa16171	K09267
Cladocopium198745	K18912
Mcavernosa21054	K18274
Mcavernosa12003	K05692
Mcavernosa09248	K05110
Cladocopium52958	K01738
Mcavernosa01603	K05765
Cladocopium307135	K14379
Cladocopium191189	K11412
Mcavernosa26058	K14079
Cladocopium275480	K13202
Cladocopium80205	K16055
Cladocopium209571	K08762
Cladocopium113128	K06997
Mcavernosa30846	K21915
Cladocopium78684	K04412
Mcavernosa24603	K22859
Cladocopium280145	K09645
Mcavernosa03024	K22614
Cladocopium70161	K01897
Cladocopium184908	K00545
Mcavernosa17309	K15109
Mcavernosa30010	K06238
Cladocopium43850	K21138
Mcavernosa31381	K15157
Cladocopium320984	K12132
Mcavernosa00562	K11651
Cladocopium175298	K00503
Cladocopium87994	K14950
Mcavernosa12038	K21797
Cladocopium117274	K01379
Mcavernosa31536	K02085
Mcavernosa32498	K11540
Cladocopium264944	K01365
Cladocopium268841	K20346
Cladocopium323924	K21396
Mcavernosa21203	K14611
Mcavernosa27262	K04424
Cladocopium443928	K03809
Cladocopium285771	K07376
Mcavernosa18915	K00789
Mcavernosa06518	K00666
Cladocopium116654	K07636
Cladocopium293028	K00645
Cladocopium270507	K04421
Mcavernosa09733	K03138
Mcavernosa14419	K09583
Cladocopium53178	K01379
Mcavernosa08043	K04596
Cladocopium202040	K08869
Mcavernosa17003	K02966
Mcavernosa18840	K09098
Cladocopium318451	K10085
Mcavernosa08373	K13051
Mcavernosa06928	K05022
Cladocopium401420	K01958
Cladocopium292039	K00323
Mcavernosa26981	K05673
Cladocopium33750	K07573
Mcavernosa26722	K00274
Cladocopium225847	K00789
Cladocopium75957	K12442
Mcavernosa03951	K05181
Mcavernosa09846	K15255
Cladocopium165240	K10523
Mcavernosa19527	K11840
Cladocopium171835	K15377
Cladocopium201401	K19327
Mcavernosa28012	K04344
Mcavernosa23966	K00252
Mcavernosa24291	K13868
Mcavernosa12073	K22614
Cladocopium25918	K00703
Cladocopium321211	K03215
Mcavernosa01709	K13358
Mcavernosa03077	K11430
Cladocopium457866	K06147
Mcavernosa20310	K07889
Mcavernosa26321	K03283
Cladocopium204301	K12132
Mcavernosa12138	K01858
Cladocopium117751	K01537
Mcavernosa13861	K08187
Cladocopium269637	K01673
Mcavernosa02334	K10660
Cladocopium170355	K02357
Cladocopium302278	K19873
Cladocopium170060	K16914
Cladocopium213738	K03321
Mcavernosa08541	K00852
Mcavernosa12796	K11835
Mcavernosa24412	K02132
Mcavernosa05676	K00474
Mcavernosa05478	K10176
Cladocopium308600	K07126
Cladocopium99889	K00974
Cladocopium47480	K15292
Cladocopium242359	K01738
Cladocopium80921	K08568
Cladocopium94116	K04739
Cladocopium273841	K15255
Mcavernosa28634	K17452
Cladocopium237184	K12373
Cladocopium259391	K02210
Cladocopium152725	K07376
Cladocopium101835	K17804
Cladocopium220607	K17681
Mcavernosa24914	K01365
Cladocopium284006	K01889
Cladocopium282710	K03526
Cladocopium95635	K00654
Cladocopium306455	K13412
Cladocopium200564	K04905
Cladocopium350140	K08857
Mcavernosa11403	K05677
Mcavernosa06520	K00666
Cladocopium302385	K12524
Cladocopium92329	K13412
Cladocopium57017	K10396
Mcavernosa04288	K01206
Cladocopium296468	K02234
Cladocopium75191	K10587
Cladocopium241348	K02168
Mcavernosa26480	K22558
Cladocopium117505	K10380
Mcavernosa31684	K20360
Cladocopium293110	K03977
Cladocopium285304	K07759
Mcavernosa16514	K07521
Mcavernosa07830	K08375
Mcavernosa00982	K09309
Cladocopium8828	K17972
Cladocopium198094	K03695
Cladocopium112488	K20176
Mcavernosa24421	K03798
Cladocopium34464	K11230
Cladocopium300834	K07516
Cladocopium221855	K11273
Cladocopium116986	K07376
Cladocopium266597	K02520
Mcavernosa13425	K10455
Mcavernosa06483	K07819
Cladocopium167356	K04860
Cladocopium187228	K12132
Cladocopium119804	K17783
Mcavernosa18545	K07966
Cladocopium267935	K02892
Cladocopium233803	K17943
Cladocopium180551	K02355
Cladocopium118067	K03549
Cladocopium156712	K02144
Cladocopium63641	K00821
Cladocopium303429	K06185
Cladocopium268251	K10380
Cladocopium110924	K22314
Cladocopium292230	K10408
Cladocopium432697	K02634
Mcavernosa20332	K07763
Cladocopium117247	K04712
Cladocopium114353	K03327
Cladocopium138377	K11416
Mcavernosa11839	K18753
Cladocopium209859	K01752
Cladocopium86344	K16604
Cladocopium267982	K04908
Mcavernosa25652	K00773
Mcavernosa04719	K00522
Mcavernosa30210	K15264
Mcavernosa08900	K04600
Cladocopium339543	K10408
Cladocopium331841	K07376
Cladocopium116091	K05658
Mcavernosa29076	K18245
Cladocopium41864	K02883
Cladocopium183638	K04905
Cladocopium373253	K20989
Cladocopium300088	K01784
Cladocopium171324	K04097
Cladocopium348746	K01875
Cladocopium315366	K13412
Cladocopium206035	K15377
Mcavernosa09479	K20780
Cladocopium315558	K10277
Mcavernosa18323	K05888
Mcavernosa04119	K04144
Mcavernosa08365	K05810
Cladocopium86684	K08582
Cladocopium212918	K21866
Mcavernosa30548	K20198
Mcavernosa11164	K23222
Mcavernosa27476	K03255
Cladocopium24454	K08827
Cladocopium292254	K06981
Cladocopium244736	K02184
Cladocopium319941	K01873
Cladocopium301984	K00166
Cladocopium281571	K01667
Mcavernosa09258	K00297
Mcavernosa17049	K09214
Cladocopium254336	K10683
Cladocopium240250	K01676
Cladocopium118401	K15259
Cladocopium300546	K14778
Cladocopium274365	K01250
Mcavernosa08611	K18663
Cladocopium249794	K00850
Cladocopium274424	K04082
Cladocopium282615	K19199
Cladocopium46123	K12182
Cladocopium304657	K05658
Mcavernosa33920	K17547
Cladocopium289788	K00026
Mcavernosa23780	K06699
Cladocopium267609	K00626
Cladocopium267926	K12861
Cladocopium286462	K04978
Cladocopium267790	K01586
Mcavernosa21326	K03175
Mcavernosa09969	K08076
Cladocopium115617	K13289
Cladocopium159626	K00873
Cladocopium295231	K03083
Cladocopium207873	K13750
Cladocopium211542	K01369
Cladocopium40558	K10147
Cladocopium153725	K14855
Cladocopium184662	K07478
Mcavernosa19015	K13024
Cladocopium264646	K17080
Mcavernosa16346	K00500
Cladocopium167224	K00464
Cladocopium79840	K05849
Cladocopium97222	K01880
Cladocopium272383	K20405
Cladocopium196048	K13761
Cladocopium55586	K01201
Mcavernosa13196	K16913
Cladocopium264314	K02735
Mcavernosa07234	K18435
Mcavernosa09637	K02433
Cladocopium273417	K05765
Cladocopium117928	K00744
Cladocopium277392	K11251
Mcavernosa18368	K11826
Cladocopium159312	K04892
Cladocopium169324	K00024
Cladocopium113015	K18447
Mcavernosa09747	K09452
Mcavernosa05732	K12231
Cladocopium118165	K03320
Mcavernosa05695	K22641
Mcavernosa22604	K04150
Mcavernosa02160	K13133
Mcavernosa22594	K14437
Mcavernosa14709	K04854
Cladocopium282740	K06573
Mcavernosa15398	K10583
Cladocopium85428	K05794
Mcavernosa33297	K20476
Mcavernosa14437	K11275
Mcavernosa03069	K15048
Mcavernosa24158	K15078
Cladocopium220819	K14683
Mcavernosa24268	K10901
Mcavernosa03611	K04550
Mcavernosa13832	K20724
Mcavernosa09240	K17360
Cladocopium105823	K01669
Cladocopium276273	K00002
Cladocopium41087	K05658
Mcavernosa30081	K05703
Mcavernosa17505	K11674
Mcavernosa05142	K12035
Cladocopium279424	K00364
Mcavernosa08230	K18668
Cladocopium209483	K01054
Mcavernosa34465	K17095
Cladocopium196136	K20045
Cladocopium87087	K17630
Mcavernosa16972	K02168
Cladocopium267817	K17732
Cladocopium75850	K12812
Cladocopium292823	K09479
Cladocopium27655	K03841
Mcavernosa09430	K16815
Cladocopium286666	K21440
Cladocopium288023	K15030
Cladocopium133008	K06195
Mcavernosa09867	K12035
Cladocopium57712	K07126
Cladocopium309577	K00031
Mcavernosa16691	K00551
Cladocopium186920	K03773
Mcavernosa24442	K10380
Mcavernosa15541	K04163
Mcavernosa10083	K07189
Mcavernosa17191	K07841
Cladocopium315377	K13025
Mcavernosa32130	K08283
Mcavernosa07739	K00461
Cladocopium268330	K00101
Cladocopium119827	K01974
Mcavernosa27021	K04135
Cladocopium183843	K15378
Cladocopium269096	K00626
Cladocopium56715	K10524
Mcavernosa04347	K06237
Mcavernosa29280	K05094
Cladocopium297681	K01210
Mcavernosa25174	K21734
Mcavernosa30743	K13045
Cladocopium165344	K03777
Cladocopium336043	K03234
Mcavernosa30100	K20367
Cladocopium223211	K14326
Cladocopium176047	K03511
Mcavernosa09914	K04968
Mcavernosa26202	K23337
Mcavernosa21353	K20879
Cladocopium66354	K00852
Mcavernosa00097	K00962
Mcavernosa29397	K01135
Cladocopium408644	K02870
Mcavernosa13695	K00933
Cladocopium295757	K08869
Mcavernosa22673	K15293
Mcavernosa14576	K11875
Cladocopium73535	K12443
Cladocopium40769	K17943
Mcavernosa15221	K16728
Cladocopium287098	K01832
Mcavernosa35074	K17916
Cladocopium44758	K16816
Mcavernosa23815	K17964
Mcavernosa10938	K05750
Mcavernosa03450	K15377
Mcavernosa14657	K13123
Cladocopium152369	K15259
Mcavernosa31707	K20182
Cladocopium268178	K12857
Mcavernosa20342	K15255
Mcavernosa21076	K11789
Cladocopium182015	K00930
Cladocopium55110	K13102
Mcavernosa02295	K20838
Mcavernosa08047	K09268
Cladocopium67970	K20175
Mcavernosa22983	K12132
Cladocopium107735	K05673
Cladocopium217819	K06662
Cladocopium268195	K20284
Cladocopium112717	K04460
Mcavernosa32138	K12323
Cladocopium280172	K06002
Cladocopium115288	K17725
Cladocopium168228	K00002
Mcavernosa26726	K14621
Mcavernosa25334	K12260
Mcavernosa16338	K05208
Cladocopium122364	K03108
Mcavernosa22181	K11182
Cladocopium44600	K17943
Mcavernosa32051	K10577
Cladocopium238029	K06147
Mcavernosa04634	K01530
Cladocopium117423	K12275
Mcavernosa20314	K01810
Mcavernosa23852	K13354
Cladocopium30557	K03386
Cladocopium211940	K00873
Mcavernosa17536	K05125
Cladocopium120048	K13412
Cladocopium264028	K09498
Cladocopium271832	K05841
Mcavernosa05515	K17495
Mcavernosa01596	K04079
Mcavernosa24417	K03175
Cladocopium299852	K09569
Cladocopium267195	K09540
Cladocopium490857	K10408
Mcavernosa02545	K20317
Cladocopium176448	K04515
Mcavernosa15827	K09008
Cladocopium306255	K01338
Cladocopium298882	K00060
Cladocopium245859	K03234
Mcavernosa10690	K18619
Mcavernosa25310	K00149
Cladocopium185723	K01115
Mcavernosa21241	K14288
Mcavernosa30273	K10685
Mcavernosa30047	K14686
Cladocopium252191	K02941
Cladocopium232564	K13412
Cladocopium36713	K01100
Cladocopium215784	K08287
Mcavernosa24026	K12198
Cladocopium149572	K01265
Cladocopium198350	K15664
Mcavernosa21135	K18693
Cladocopium86941	K14947
Cladocopium271841	K20726
Mcavernosa05543	K19882
Cladocopium113775	K01649
Mcavernosa16301	K15909
Cladocopium114452	K07199
Mcavernosa04015	K00864
Mcavernosa04749	K06642
Cladocopium338957	K00249
Cladocopium323551	K04730
Cladocopium357676	K10408
Cladocopium294875	K10356
Cladocopium170783	K00919
Mcavernosa30196	K19360
Cladocopium55335	K00800
Mcavernosa02762	K14411
Cladocopium339182	K02183
Mcavernosa20600	K08375
Mcavernosa22178	K11182
Cladocopium115102	K16066
Mcavernosa20939	K00972
Cladocopium86569	K13612
Cladocopium441755	K10413
Mcavernosa19520	K20407
Cladocopium265400	K06630
Mcavernosa03480	K10614
Cladocopium35261	K14165
Mcavernosa21733	K17572
Mcavernosa19502	K04794
Cladocopium285720	K02931
Cladocopium216298	K01810
Mcavernosa29010	K03929
Cladocopium46982	K18404
Cladocopium117533	K10615
Mcavernosa32674	K15048
Mcavernosa01012	K13172
Cladocopium118815	K01802
Cladocopium116845	K09865
Cladocopium58032	K22470
Cladocopium100888	K10408
Cladocopium276620	K19870
