Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa21862	Belongs to the transferrin family
Mcavernosa19538	HEAT repeat-containing protein
Mcavernosa06679	Hemimethylated DNA-binding protein YccV like
Mcavernosa21780	metal ion binding
Mcavernosa30627	calmodulin-dependent protein kinase activity
Mcavernosa19790	Proteasome activator complex subunit
Mcavernosa14007	Bifunctional apoptosis regulator
Mcavernosa12045	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity
Mcavernosa05736	response to corticosterone
Mcavernosa22905	heme binding
Mcavernosa15100	sialidase 1 (lysosomal sialidase)
Mcavernosa02585	Yip1 domain family member 5
Mcavernosa26524	otic vesicle formation
Mcavernosa17414	trafficking protein particle complex
Mcavernosa15323	Flavin containing amine oxidoreductase
Mcavernosa02408	autophagy of peroxisome
Mcavernosa33917	lipoprotein receptor-related protein
Mcavernosa23172	negative regulation of transcription elongation from RNA polymerase II promoter
Mcavernosa18998	Cancer susceptibility candidate 3
Mcavernosa12380	protein-DNA loading ATPase activity
Mcavernosa25720	5-formyltetrahydrofolate cyclo-ligase activity
Mcavernosa34590	Domain of unknown function (DUF4550)
Mcavernosa15794	Belongs to the AB hydrolase superfamily. Lipase family
Mcavernosa24581	Methyltransferase domain
Mcavernosa18583	Lys63-specific deubiquitinase activity
Mcavernosa06087	calcium ion-regulated exocytosis of neurotransmitter
Mcavernosa05699	Enoyl-CoA delta isomerase 1
Mcavernosa28000	polycystic kidney disease protein 1-like
Mcavernosa29464	factor receptor
Mcavernosa01513	CD4 receptor binding
Mcavernosa24340	abducens nerve formation
Mcavernosa15650	Si dkey-181m9.8
Mcavernosa07880	timeless homolog
Mcavernosa06983	Phosphoserine phosphatase
Mcavernosa05262	3',5'-cyclic-nucleotide phosphodiesterase activity
Mcavernosa26750	glutamic-type peptidase activity
Mcavernosa15870	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa01288	NEDD8 transferase activity
Mcavernosa03065	protein serine/threonine kinase activity
Mcavernosa24515	Solute carrier organic anion transporter family, member
Mcavernosa17125	regulation of response to stimulus
Mcavernosa00947	mitochondrial fusion
Mcavernosa18438	co-translational protein modification
Mcavernosa30122	zinc ion binding
Mcavernosa18687	Domain of unknown function (DUF4419)
Mcavernosa17127	Coagulation factor 5/8 C-terminal domain, discoidin domain
Mcavernosa05865	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)
Mcavernosa18965	mitochondrial transport
Mcavernosa22023	iron assimilation by reduction and transport
Mcavernosa00451	GTP-dependent protein binding
Mcavernosa07195	RIM-binding protein of the cytomatrix active zone
Mcavernosa34221	transmembrane transport
Mcavernosa16222	acetyltransferase component of pyruvate dehydrogenase
Mcavernosa06610	Tumor necrosis factor-inducible gene 6 protein
Mcavernosa27961	maintenance of mitotic sister chromatid cohesion
Mcavernosa04916	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa08026	RAB23, member RAS oncogene family
Mcavernosa14143	Transformation transcription domain-associated
Mcavernosa25220	5'-deoxyribose-5-phosphate lyase activity
Mcavernosa09180	Leucine rich repeat containing 9
Mcavernosa01593	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
Mcavernosa05318	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Mcavernosa11835	positive regulation of nuclear cell cycle DNA replication
Mcavernosa10207	acetyltransferase, which acetylates the inositol ring of phosphatidylinositol during biosynthesis of GPI- anchor
Mcavernosa09911	positive regulation of DNA-binding transcription factor activity
Mcavernosa06617	positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
Mcavernosa21439	organic anion transmembrane transporter activity
Mcavernosa05145	Tetratricopeptide repeat and ankyrin repeat containing 1
Mcavernosa18321	D-arabinono-1,4-lactone oxidase
Mcavernosa32338	negative regulation of constitutive secretory pathway
Mcavernosa12628	Leucine Rich repeat
Mcavernosa03052	ribosome binding
Mcavernosa03968	positive regulation of neuronal action potential
Mcavernosa25426	Glucosaminyl (N-acetyl) transferase 4, core 2
Mcavernosa09378	phytosphingosine metabolic process
Mcavernosa22608	transmembrane transport
Mcavernosa24937	thyroid hormone transmembrane transporter activity
Mcavernosa04387	calcium ion transport
Mcavernosa21790	ATP-dependent RNA helicase
Mcavernosa14057	regulation of mitotic metaphase/anaphase transition
Mcavernosa17022	transmembrane transport
Mcavernosa03819	Modulator
Mcavernosa06681	Belongs to the alkaline phosphatase family
Mcavernosa03961	aminopeptidase activity
Mcavernosa16396	gamete generation
Mcavernosa10904	exosome endoribonuclease and 3'-5' exoribonuclease
Mcavernosa12643	GTPase activator activity
Mcavernosa22922	eukaryotic initiation factor 4G binding
Mcavernosa05004	platelet formation
Mcavernosa13751	ADP-ribosylation factor-like
Mcavernosa13139	arachidonic acid secretion
Mcavernosa21168	protein-glycine ligase activity, initiating
Mcavernosa10759	Thioredoxin domain-containing protein 9
Mcavernosa02878	ATP-dependent RNA helicase SUPV3L1, mitochondrial
Mcavernosa12798	Belongs to the peptidase C19 family
Mcavernosa25238	Protein kinase C and casein kinase substrate in neurons
Mcavernosa01327	kinase-activated protein kinase 5
Mcavernosa29915	negative regulation of mitochondrial fusion
Mcavernosa05483	extracellularly ATP-gated cation channel activity
Mcavernosa28421	mitochondrial respiratory chain complex I assembly
Mcavernosa16711	Lysosomal trafficking regulator
Mcavernosa11439	transmembrane and ubiquitin-like
Mcavernosa00967	TLC domain
Mcavernosa19605	protein tyrosine phosphatase activity
Mcavernosa27725	Sterol-sensing domain of SREBP cleavage-activation
Mcavernosa20282	molybdopterin cofactor binding
Mcavernosa00334	phosphate cyclase-like
Mcavernosa30740	7 transmembrane receptor (rhodopsin family)
Mcavernosa33628	GTPase activator activity
Mcavernosa18481	regulation of skeletal muscle fiber development
Mcavernosa05700	polycystic kidney disease protein 1-like
Mcavernosa13604	calcium ion-regulated exocytosis of neurotransmitter
Mcavernosa23299	telomerase activity
Mcavernosa21075	Tetra-peptide repeat homeobox protein
Mcavernosa24771	belongs to the protein kinase superfamily
Mcavernosa04898	regulation of embryonic development
Mcavernosa27617	Small ubiquitin-related modifier
Mcavernosa16307	Belongs to the cysteine synthase cystathionine beta- synthase family
Mcavernosa01818	Ethanolamine kinase 1
Mcavernosa19050	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
Mcavernosa15111	Galactosyltransferase
Mcavernosa16381	cytoplasmic linker associated protein
Mcavernosa11242	sulfuric ester hydrolase activity
Mcavernosa17720	protein kinase activity
Mcavernosa27939	Ran GTPase binding
Mcavernosa32550	Coiled-coil domain-containing protein 65
Mcavernosa05529	Thrombospondin type 1 repeats
Mcavernosa16951	MafB19-like deaminase
Mcavernosa23904	cation channel activity
Mcavernosa24720	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa05272	ATP binding
Mcavernosa14477	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Mcavernosa21427	solute carrier family 22
Mcavernosa10220	Utp21 specific WD40 associated putative domain
Mcavernosa16438	FAD linked oxidase
Mcavernosa05088	Alkylated DNA repair protein alkB homolog
Mcavernosa16431	Guanine nucleotide binding protein-like 1
Mcavernosa20682	Required for ribosome biogenesis. Part of a complex which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1
Mcavernosa12728	spermatogenesis associated 4
Mcavernosa07502	LON peptidase N-terminal domain and RING finger
Mcavernosa05277	sequence-specific DNA binding
Mcavernosa00087	Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
Mcavernosa22672	regulation of proteasomal ubiquitin-dependent protein catabolic process
Mcavernosa04142	Heparanase
Mcavernosa06123	NAD(P)+ nucleosidase activity
Mcavernosa19290	transcription factor Ovo-like
Mcavernosa28061	factor 1
Mcavernosa22524	von Willebrand factor (vWF) type A domain
Mcavernosa21937	solute carrier family 22
Mcavernosa09328	Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
Mcavernosa17916	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
Mcavernosa20381	CUB and zona pellucida-like domain-containing protein
Mcavernosa00014	Meiosis expressed gene 1 protein homolog
Mcavernosa31591	Reactive intermediate imine deaminase A homolog
Mcavernosa05537	Bone morphogenetic protein 3B
Mcavernosa22233	phosphatidylethanolamine binding
Mcavernosa15449	alpha-galactosidase activity
Mcavernosa20355	SET domain-containing protein 9
Mcavernosa10088	benzodiazepine receptor binding
Mcavernosa31437	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
Mcavernosa32479	serine threonine-protein kinase
Mcavernosa13706	Chromatin modification-related protein MEAF6
Mcavernosa04346	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa25337	positive regulation of calcium-dependent cell-cell adhesion
Mcavernosa15962	meiotic chromosome condensation
Mcavernosa28275	positive regulation of cholesterol storage
Mcavernosa16675	protein localization to nuclear inner membrane
Mcavernosa11377	Belongs to the DEAD box helicase family
Mcavernosa17364	propanoyl-CoA C-acyltransferase activity
Mcavernosa03296	GTP binding protein 2
Mcavernosa32346	concentration of cytosolic Mg(2 ). Its activation dampens the excitatory events that elevate the cytosolic Ca(2 ) concentration and or depolarize the cell membrane. It therefore contributes to repolarization of the membrane potential. Plays a key role in controlling excitability in a number of systems, such as regulation of the contraction of smooth muscle, the tuning of hair cells in the cochlea, regulation of transmitter release, and innate immunity. In smooth muscles, its activation by high level of Ca(2 ), caused by ryanodine receptors in the sarcoplasmic reticulum, regulates the membrane potential. In cochlea cells, its number and kinetic properties partly determine the characteristic frequency of each hair cell and thereby helps to establish a tonotopic map. Kinetics of KCNMA1 channels are determined by alternative splicing, phosphorylation status and its combination with modulating beta subunits. Highly sensitive to both iberiotoxin (IbTx) and charybdotoxin (CTX) (By similarity)
Mcavernosa08366	negative regulation of translational initiation in response to stress
Mcavernosa15468	peptidyl-proline 3-dioxygenase activity
Mcavernosa09115	Synaptosomal-associated protein
Mcavernosa03857	cyclin-dependent kinase 9
Mcavernosa19312	peroxisome matrix targeting signal-1 binding
Mcavernosa02215	hyaluronic acid binding
Mcavernosa06476	protein tyrosine phosphatase activity
Mcavernosa02661	regulation of DNA methylation
Mcavernosa23658	GTP binding. It is involved in the biological process described with
Mcavernosa31870	DNA integration
Mcavernosa02040	macromolecule localization
Mcavernosa25596	intracellular chloride channel activity
Mcavernosa01041	telomerase activity
Mcavernosa32131	monooxygenase activity
Mcavernosa18220	phenylalanyl-tRNA aminoacylation
Mcavernosa22851	H4K20me3 modified histone binding
Mcavernosa26595	F-box WD repeat-containing protein
Mcavernosa06841	Bacterial capsule synthesis protein PGA_cap
Mcavernosa14303	Protein phosphatase 1 regulatory subunit 35 C-terminus
Mcavernosa21409	acetylcholine-gated cation-selective channel activity
Mcavernosa03476	metanephric macula densa development
Mcavernosa18941	dual specificity protein phosphatase
Mcavernosa04832	spermine transport
Mcavernosa31291	Furin, paired basic amino acid cleaving enzyme
Mcavernosa15445	Glucose dehydrogenase C-terminus
Mcavernosa03740	vesicle fusion with Golgi apparatus
Mcavernosa25152	GTPase activity
Mcavernosa06730	KIX-binding domain of forkhead box O, CR2
Mcavernosa12252	Glycine-rich domain-containing protein-like
Mcavernosa09111	CASP C terminal
Mcavernosa04497	transmembrane transport
Mcavernosa12230	Glutamine-fructose-6-phosphate transaminase 2
Mcavernosa04929	chitinase activity
Mcavernosa33111	C-mer proto-oncogene tyrosine kinase
Mcavernosa15343	retinol dehydrogenase activity
Mcavernosa34360	Transcription initiation factor TFIID subunit 2
Mcavernosa00278	L-alpha-amino acid transmembrane transport
Mcavernosa19157	molybdopterin synthase activity
Mcavernosa16958	positive regulation of Notch signaling pathway
Mcavernosa22541	positive regulation of dense core granule transport
Mcavernosa20104	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Mcavernosa09705	outer dynein arm assembly
Mcavernosa25668	-
Mcavernosa02763	TBC1 domain family, member 13
Mcavernosa05443	cortical actin cytoskeleton organization
Mcavernosa25236	Beta-eliminating lyase
Mcavernosa24459	Lamina-associated polypeptide 1C (LAP1C)
Mcavernosa24685	Renin binding protein
Mcavernosa11216	Transmembrane protein family 232
Mcavernosa29670	this phosphorylation event is a prerequisite for the subsequent ligation of the two exon halves and the production of a mature tRNA. Component of the pre-mRNA cleavage complex II (CF-II), which seems to be required for mRNA 3'-end formation. Also phosphorylates the 5'-terminus of exogenously introduced short interfering RNAs (siRNAs), which is a necessary prerequisite for their incorporation into the RNA- induced silencing complex (RISC). However, endogenous siRNAs and microRNAs (miRNAs) that are produced by the cleavage of dsRNA precursors by DICER1 already contain a 5'-phosphate group, so this protein may be dispensible for normal RNA-mediated gene silencing
Mcavernosa10040	mitophagy by induced vacuole formation
Mcavernosa18703	DNA binding
Mcavernosa30195	epithelial to mesenchymal transition
Mcavernosa05928	chloride channel
Mcavernosa01737	Acyl-coenzyme A synthetase ACSM3
Mcavernosa20577	structural constituent of cuticle
Mcavernosa21509	Gamma-tubulin complex component 6
Mcavernosa10449	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Mcavernosa04807	negative regulation of phosphatase activity
Mcavernosa33017	zinc ion binding
Mcavernosa00118	clathrin binding
Mcavernosa33595	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
Mcavernosa00646	protein import into peroxisome matrix, translocation
Mcavernosa19626	translation repressor activity
Mcavernosa21960	positive regulation of DNA-binding transcription factor activity
Mcavernosa28750	neurotransmitter:sodium symporter activity
Mcavernosa22218	procollagen-proline 4-dioxygenase activity
Mcavernosa05458	EF-hand calcium-binding domain-containing protein 5
Mcavernosa03176	threonyl-tRNA aminoacylation
Mcavernosa01088	locomotory exploration behavior
Mcavernosa19042	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Mcavernosa19632	E3 ubiquitin-protein ligase synoviolin
Mcavernosa03802	UDP-glucoronosyl and UDP-glucosyl transferase
Mcavernosa17498	aryl hydrocarbon receptor activity
Mcavernosa22823	Protein rolling stone-like
Mcavernosa07564	oxalate transmembrane transporter activity
Mcavernosa29145	Belongs to the mitochondrial carrier (TC 2.A.29) family
Mcavernosa00509	ribosomal large subunit binding
Mcavernosa00598	Domain of unknown function (DUF4555)
Mcavernosa07064	Zinc-dependent metalloprotease
Mcavernosa09155	Belongs to the glycosyl hydrolase 18 family
Mcavernosa19198	importin-alpha family protein binding
Mcavernosa09734	epoxide hydrolase activity
Mcavernosa34651	G-protein coupled receptor activity
Mcavernosa31583	peroxisome localization
Mcavernosa12816	heavy chain 12
Mcavernosa16179	protein O-linked glycosylation via threonine
Mcavernosa32031	sphingolipid delta-4 desaturase activity
Mcavernosa19820	protein kinase D signaling
Mcavernosa19484	DNA annealing helicase and endonuclease
Mcavernosa12844	C-type lectin domain family 19 member A
Mcavernosa14331	protein-hormone receptor activity
Mcavernosa27811	dodecanoyl-[acyl-carrier-protein] hydrolase activity
Mcavernosa16995	dolichol-linked oligosaccharide biosynthetic process
Mcavernosa03111	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)
Mcavernosa04757	DNA-dependent protein kinase activity
Mcavernosa00170	tRNA dihydrouridine synthase activity
Mcavernosa15814	Potassium channel subfamily K member
Mcavernosa13663	glycine amidinotransferase
Mcavernosa33465	Complement Clr-like EGF-like
Mcavernosa19829	peptidyl-prolyl cis-trans isomerase activity
Mcavernosa21734	Protein of unknown function (DUF1349)
Mcavernosa13141	negative regulation of macrophage cytokine production
Mcavernosa26725	Exosome component 5
Mcavernosa00869	NEDD8 transferase activity
Mcavernosa14699	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Mcavernosa20729	NAD dependent epimerase/dehydratase family
Mcavernosa11035	Transferase activity, transferring phosphorus-containing groups
Mcavernosa25620	Ion channel
Mcavernosa04550	Ubiquinone biosynthesis protein COQ9
Mcavernosa18652	ectonucleotide pyrophosphatase phosphodiesterase
Mcavernosa07768	positive regulation of interleukin-13 biosynthetic process
Mcavernosa04131	serine-type endopeptidase activity
Mcavernosa32495	peptidase inhibitor activity
Mcavernosa21958	spliceosomal complex assembly
Mcavernosa19055	sympathetic neuron projection guidance
Mcavernosa16813	netrin receptor activity
Mcavernosa07263	exocyst complex component
Mcavernosa21520	GDP-fucose import into Golgi lumen
Mcavernosa18494	nuclear migration
Mcavernosa28397	Belongs to the DEAD box helicase family
Mcavernosa25090	transmembrane receptor protein serine/threonine kinase activity
Mcavernosa11368	WASH complex subunit
Mcavernosa08991	Aconitase C-terminal domain
Mcavernosa20552	peptidase M20
Mcavernosa07277	Domain of unknown function (DUF4503)
Mcavernosa05101	GPI anchor biosynthetic process
Mcavernosa03243	GTPase activator activity
Mcavernosa05534	Nuclear pore complex protein
Mcavernosa01144	Belongs to the syntaxin family
Mcavernosa06742	E-box binding
Mcavernosa29640	Mucin 4, cell surface associated
Mcavernosa26591	heavy chain 3
Mcavernosa18568	organic anion transmembrane transporter activity
Mcavernosa32195	Cupin-like domain
Mcavernosa31629	oxidoreductase activity, acting on peroxide as acceptor
Mcavernosa21206	sodium-dependent L-ascorbate transmembrane transporter activity
Mcavernosa20101	serine-type endopeptidase activity
Mcavernosa14428	microtubule motor activity
Mcavernosa08286	CPSF A subunit region
Mcavernosa25840	hydrolase activity
Mcavernosa23977	fibroblast growth factor-activated receptor activity
Mcavernosa20483	dihydrolipoyllysine-residue succinyltransferase activity
Mcavernosa09590	protection from non-homologous end joining at telomere
Mcavernosa20555	positive regulation of myosin-light-chain-phosphatase activity
Mcavernosa19930	Phytochelatin synthase
Mcavernosa30860	microtubule severing
Mcavernosa09577	Coiled-coil domain-containing protein 142
Mcavernosa16571	deaminase
Mcavernosa25906	MAM domain, meprin/A5/mu
Mcavernosa12208	DNA ligation involved in DNA recombination
Mcavernosa08492	heterogeneous nuclear ribonucleoprotein
Mcavernosa23118	Rho guanine nucleotide exchange factor
Mcavernosa03926	Ubiquitin conjugation factor E4 A
Mcavernosa19937	Phytochelatin synthase
Mcavernosa16762	translation
Mcavernosa24570	BTB And C-terminal Kelch
Mcavernosa05959	HAD-hyrolase-like
Mcavernosa01063	BPTI/Kunitz family of serine protease inhibitors.
Mcavernosa08971	OAR domain
Mcavernosa33721	betaine--homocysteine S-methyltransferase
Mcavernosa06511	Heart- and neural crest
Mcavernosa31386	3 beta-hydroxysteroid dehydrogenase Delta 5
Mcavernosa16578	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Mcavernosa23877	lyase activity
Mcavernosa30965	structural constituent of ribosome
Mcavernosa29764	Protein odr-4 homolog
Mcavernosa22368	ATP-dependent RNA helicase
Mcavernosa06637	It is involved in the biological process described with transmembrane transport
Mcavernosa31500	Riboflavin kinase activity. It is involved in the biological process described with riboflavin biosynthetic process
Mcavernosa33556	lysine N-methyltransferase activity
Mcavernosa18863	sequence-specific DNA binding
Mcavernosa26763	Formin Homology 2 Domain
Mcavernosa18002	chromatin disassembly
Mcavernosa23612	negative regulation of non-canonical Wnt signaling pathway
Mcavernosa05800	Ligand-gated ion channel
Mcavernosa00561	plexin domain-containing protein
Mcavernosa26653	Belongs to the glycosyltransferase 43 family
Mcavernosa02232	SUMO binding
Mcavernosa17355	protein localization to site of double-strand break
Mcavernosa26259	intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity
Mcavernosa09475	Mitochondrial import inner membrane translocase subunit
Mcavernosa10361	Cys/Met metabolism PLP-dependent enzyme
Mcavernosa31252	Amidohydrolase family
Mcavernosa24027	protein tyrosine phosphatase activity
Mcavernosa24437	NMDA receptor synaptonuclear signaling and neuronal migration
Mcavernosa03810	cellular zinc ion homeostasis
Mcavernosa14089	WD repeat domain 90
Mcavernosa12779	cellular zinc ion homeostasis
Mcavernosa12379	F5/8 type C domain
Mcavernosa07674	nudix (nucleoside diphosphate linked moiety X)-type motif 7
Mcavernosa04455	RNA splicing
Mcavernosa01191	phenylalanyl-tRNA synthetase
Mcavernosa10097	Ligand-gated ion channel
Mcavernosa11203	glycerol-3-phosphatase activity
Mcavernosa23266	RNA trimethylguanosine synthase activity
Mcavernosa13774	regulation of T cell homeostatic proliferation
Mcavernosa18852	Sea anemone cytotoxic protein
Mcavernosa18548	Domain of unknown function (DUF4586)
Mcavernosa32165	Involved in the fragmentation of the mitochondrial network and its perinuclear clustering
Mcavernosa31667	metal ion binding
Mcavernosa30570	Proton-conducting membrane transporter
Mcavernosa19540	serine-type endopeptidase activity
Mcavernosa31539	metalloendopeptidase activity
Mcavernosa07833	Ras-associating and dilute domain-containing
Mcavernosa16880	elongator acetyltransferase complex subunit 4
Mcavernosa09295	tyrosinase
Mcavernosa13479	Eukaryotic translation elongation factor 1 beta 2
Mcavernosa12035	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine)
Mcavernosa28571	hydrolase activity
Mcavernosa33548	GTPase activator activity
Mcavernosa03056	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Mcavernosa24279	Common central domain of tyrosinase
Mcavernosa03155	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa05152	cationic amino acid transporter
Mcavernosa13435	DREV methyltransferase
Mcavernosa03494	box H/ACA snoRNP assembly
Mcavernosa31535	regulation of glutamate metabolic process
Mcavernosa11688	neurexin family protein binding
Mcavernosa15892	EF-hand domain
Mcavernosa27361	PR domain zinc finger protein 14
Mcavernosa25342	YEATS family
Mcavernosa33184	negative regulation of ectoderm development
Mcavernosa00134	quinolinate catabolic process
Mcavernosa23598	It is involved in the biological process described with signal transduction
Mcavernosa07872	26s proteasome non-ATPase regulatory subunit
Mcavernosa04519	copper-exporting ATPase activity
Mcavernosa12970	serine threonine-protein kinase
Mcavernosa01257	factor 1
Mcavernosa33609	phosphate symporter
Mcavernosa02553	Short calmodulin-binding motif containing conserved Ile and Gln residues.
Mcavernosa17058	Nucleoredoxin
Mcavernosa03486	regulation of voltage-gated sodium channel activity
Mcavernosa27001	3'-flap endonuclease activity
Mcavernosa21570	Pyruvate dehydrogenase
Mcavernosa02420	quinone binding
Mcavernosa12177	Mucin 4, cell surface associated
Mcavernosa13825	G-protein coupled receptor activity
Mcavernosa11693	monocarboxylate transporter
Mcavernosa00550	negative regulation of ATF6-mediated unfolded protein response
Mcavernosa20027	DNA replication-independent nucleosome assembly
Mcavernosa04815	ATP-binding cassette, subfamily B (MDR TAP), member
Mcavernosa01345	DJ-1/PfpI family
Mcavernosa09403	potassium channel regulator activity
Mcavernosa10218	Utp21 specific WD40 associated putative domain
Mcavernosa04741	transcription by RNA polymerase I
Mcavernosa06150	helicase activity
Mcavernosa24272	zinc ion binding
Mcavernosa21549	EF-hand calcium-binding domain-containing protein
Mcavernosa30358	monocarboxylate transporter
Mcavernosa09029	metalloaminopeptidase activity
Mcavernosa06927	peptidyl-prolyl
Mcavernosa05973	regulation of vacuole fusion, non-autophagic
Mcavernosa34949	Tho complex
Mcavernosa00377	BCCT, betaine/carnitine/choline family transporter
Mcavernosa15466	peptidyl-proline 3-dioxygenase activity
Mcavernosa00482	RNA polymerase II CTD heptapeptide repeat phosphatase activity
Mcavernosa03238	Late endosomal lysosomal adaptor, MAPK and MTOR activator 5
Mcavernosa06416	creatine kinase activity
Mcavernosa16985	Macro domain
Mcavernosa02817	RNA polymerase II
Mcavernosa27436	Poly (ADP-ribose) polymerase
Mcavernosa22834	metalloaminopeptidase activity
Mcavernosa02718	ubiquitin-protein transferase activity
Mcavernosa10450	G-protein coupled receptor
Mcavernosa19503	transmembrane and coiled-coil domain family 2
Mcavernosa16021	BRCA1 associated protein
Mcavernosa24711	IMP dehydrogenase activity
Mcavernosa33988	NMDA glutamate receptor activity
Mcavernosa33214	Caspase domain
Mcavernosa11854	SYMpleKin
Mcavernosa24966	peptidyl-tyrosine sulfation
Mcavernosa04945	Charged multivesicular body protein
Mcavernosa24475	Pyruvate Dehydrogenase Phosphatase Regulatory subunit
Mcavernosa00926	G-protein coupled receptor activity
Mcavernosa00890	protein localization to nucleoplasm
Mcavernosa15006	Cytochrome c oxidase assembly factor 4 homolog
Mcavernosa14797	transcriptional regulator
Mcavernosa27352	regulation of transcription by RNA polymerase II
Mcavernosa11698	small GTPase mediated signal transduction
Mcavernosa10843	osteoclast fusion
Mcavernosa12049	Transposase IS4
Mcavernosa02964	Required for protein import into peroxisomes
Mcavernosa08856	Histidine triad nucleotide binding protein 3
Mcavernosa25088	BIR domain binding
Mcavernosa15968	2 iron, 2 sulfur cluster binding
Mcavernosa15134	microtubule associated serine threonine
Mcavernosa34061	Heat shock 70 kDa protein 12A-like
Mcavernosa26342	neurogenic locus notch homolog protein
Mcavernosa04936	cell division cycle 5-like
Mcavernosa08746	spliceosomal complex disassembly
Mcavernosa21191	positive regulation of proteasomal protein catabolic process
Mcavernosa11633	GIPC PDZ domain containing family member
Mcavernosa17061	Domain of unknown function (DUF4507)
Mcavernosa24941	thyroid hormone transmembrane transporter activity
Mcavernosa25914	heme binding
Mcavernosa01574	cerebellar granule cell precursor tangential migration
Mcavernosa10532	ectonucleotide pyrophosphatase phosphodiesterase
Mcavernosa31455	Calcium-binding protein
Mcavernosa30095	zinc finger
Mcavernosa10401	Ankyrin repeat and MYND
Mcavernosa16309	protease binding
Mcavernosa08392	N,N-dimethylaniline monooxygenase activity
Mcavernosa18939	Universal stress protein family
Mcavernosa16144	acyl-CoA dehydrogenase family, member
Mcavernosa00089	folate import across plasma membrane
Mcavernosa13842	Cadherin-like
Mcavernosa22569	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
Mcavernosa24064	natriuretic peptide receptor activity
Mcavernosa27116	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Mcavernosa08810	protein dimerization activity
Mcavernosa25613	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
Mcavernosa00805	beta-galactosidase activity
Mcavernosa24752	glutathione peroxidase activity
Mcavernosa18428	Rho GTPase activating protein 15
Mcavernosa22453	Putative cyclase
Mcavernosa02050	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Mcavernosa18280	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Mcavernosa33076	7 transmembrane receptor (rhodopsin family)
Mcavernosa25143	Rap protein signal transduction
Mcavernosa22155	Cyclin-dependent kinase
Mcavernosa01901	Ras homolog enriched in brain
Mcavernosa18055	-
Mcavernosa15670	armadillo repeat domain binding
Mcavernosa22897	ephrin receptor activity
Mcavernosa11853	GTP binding
Mcavernosa28576	polycystic kidney disease protein 1-like
Mcavernosa35077	purine-rich negative regulatory element binding
Mcavernosa31607	DN3 thymocyte differentiation
Mcavernosa17084	cleavage and polyadenylation specificity factor subunit
Mcavernosa07723	positive regulation of epithelial to mesenchymal transition
Mcavernosa01302	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa24067	guanylate cyclase activity
Mcavernosa13835	-
Mcavernosa26663	Domain present in PSD-95, Dlg, and ZO-1/2.
Mcavernosa10800	iron-sulfur cluster assembly
Mcavernosa34295	GABA-A receptor activity
Mcavernosa09570	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)
Mcavernosa07479	DNA translocase activity
Mcavernosa28023	Family with sequence similarity 161, member A
Mcavernosa26888	alpha-L-fucosidase activity
Mcavernosa18353	3-kinase, catalytic subunit
Mcavernosa06451	Ubiquitin-conjugating enzyme
Mcavernosa22676	calcium ion binding
Mcavernosa14643	protein ubiquitination
Mcavernosa03980	embryonic heart tube elongation
